frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,886.0,757.0,92.0,0.5822361763329063,0.6252272069972007,-0.5197037373347593,0.4809329927715821
44,897.0,754.0,91.0,0.5839050049405903,0.6193648850778174,-0.5248257656955033,0.4809329927715821
45,907.0,751.0,90.0,0.5855619224262957,0.6132779962438614,-0.5301012491284427,0.4809329927715821
46,918.0,748.0,89.0,0.5871992134933673,0.6069535141804641,-0.5355413292144277,0.4809329927715821
47,928.0,745.0,88.0,0.5888365045604391,0.6003827311595711,-0.5411211943940267,0.4809329927715821
48,938.0,741.0,88.0,0.5904737956275108,0.5935602476813923,-0.5468335478458183,0.4809329927715821
49,947.0,738.0,87.0,0.5921110866945826,0.5864833511651403,-0.5526678385969889,0.4809329927715821
50,957.0,737.0,86.0,0.5937483777616542,0.57915523699017,-0.5586072639809332,0.4809329927715821
51,966.0,734.0,85.0,0.5953856688287259,0.5715838162642755,-0.5646307167858808,0.4809329927715821
52,975.0,732.0,84.0,0.5970229598957976,0.5637815478428332,-0.5707135460712318,0.4809329927715821
53,984.0,729.0,83.0,0.5986602509628692,0.555765022357459,-0.5768285220419389,0.4809329927715821
54,994.0,724.0,83.0,0.6002975420299409,0.5475543086212519,-0.5829469445353618,0.4809329927715821
55,1003.0,719.0,82.0,0.6019348330970127,0.5391720926102361,-0.5890398214507832,0.4809329927715821
56,1012.0,716.0,81.0,0.6035721241640843,0.5306426586185854,-0.595079036587792,0.48136042595709744
57,1021.0,710.0,80.0,0.605209415231156,0.5219910906457143,-0.6010381560284338,0.48157038808425445
58,1029.0,706.0,80.0,0.6068467062982277,0.5132416706834941,-0.6068937819165792,0.4816467591358951
59,1037.0,703.0,79.0,0.6084839973652993,0.5044170619738418,-0.6126260299236589,0.48148392385973415
60,1045.0,700.0,78.0,0.6101212884323711,0.4955374474696322,-0.6182189349711839,0.48114549393427936
61,1053.0,696.0,78.0,0.6117585794994428,0.4866199163682364,-0.62366056264814,0.4807335931271858
62,1060.0,693.0,77.0,0.6133958705665145,0.4776775459648756,-0.6289432947833389,0.48035034520610886
