frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,886.0,757.0,92.0,0.6196430488258582,0.5535238456224307,0.5564654925232567,0.3683305012867665
44,897.0,754.0,91.0,0.7365265805528796,0.2477508755015652,0.629402970939358,0.434067149660461
45,907.0,751.0,90.0,0.9441891850874164,0.0278482029352935,-0.3282244054869094,0.8027282075081281
46,918.0,748.0,89.0,0.2102017112479249,-0.9732071274803088,0.0931833011326065,0.3542846470792169
47,928.0,745.0,88.0,0.1641185872952774,-0.983962487530938,0.0698778393779533,0.3377262250646225
48,938.0,741.0,88.0,0.763022525037593,0.631931040487728,-0.1358667963608227,0.638295723875529
49,947.0,738.0,87.0,0.996488742317439,0.0829067860024036,-0.0116897933839942,0.3682919654386792
50,957.0,737.0,86.0,0.866685431539465,0.4108275431533353,0.2829789613095747,0.796830293039427
51,966.0,734.0,85.0,0.943477542024946,-0.0741805652689237,0.3230284374957556,0.5039288427050527
52,975.0,732.0,84.0,0.9593026421401674,-0.179384925670038,-0.2180813821151382,0.4770478363346672
53,984.0,729.0,83.0,0.4274776666706203,-0.8968419184316045,0.1137427705032785,0.464224287748853
54,994.0,724.0,83.0,0.1118529731324151,-0.4674771544020601,-0.8769002352112764,0.3555401070261517
55,1003.0,719.0,82.0,0.744077047562065,0.6458582847037734,-0.1709281234051909,0.7530280820476228
56,1012.0,716.0,81.0,0.9428199942516874,0.1117588116895355,0.3140070484065463,0.560236797141084
57,1021.0,710.0,80.0,0.6253718521048273,0.7763460327294123,-0.0787202900164904,0.4963364585389088
58,1029.0,706.0,80.0,0.9868801760327196,0.0777549596010631,0.1414980014384143,0.5508706418914384
59,1037.0,703.0,79.0,0.8068972948314983,-0.4723773046439046,-0.3546497393922206,0.3052514519609692
60,1045.0,700.0,78.0,0.345892852922233,0.1911155992203692,-0.9186038112439756,1.0588538408490284
61,1053.0,696.0,78.0,-0.8832932590371033,-0.1247023218410609,-0.4519317973622361,0.4222165940523225
62,1060.0,693.0,77.0,0.6941045104187169,0.3189260508837635,0.6453720653112285,0.5261752609624643
