Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
142,355,1071,1033,1082,976,466,1267,466
143,359,1070,1034,1081,980,465,1268,465
144,360,1072,1036,1083,981,467,1270,467
145,367,1069,1039,1080,988,464,1273,464
146,366,1074,1040,1085,987,469,1274,469
147,365,1078,1041,1089,986,473,1275,473
148,368,1081,1044,1092,989,476,1278,476
149,372,1084,1048,1095,993,479,1282,479
150,373,1088,1051,1099,994,483,1285,483
151,378,1091,1055,1102,999,486,1289,486
152,383,1092,1059,1103,1004,487,1293,487
153,387,1093,1063,1104,1008,488,1297,488
154,386,1099,1064,1110,1007,494,1298,494
155,388,1100,1067,1111,1009,495,1301,495
156,388,1102,1068,1113,1009,497,1302,497
157,392,1102,1071,1113,1013,497,1305,497
158,398,1099,1074,1110,1019,494,1308,494
159,394,1104,1074,1115,1015,499,1308,499
160,392,1106,1074,1117,1013,501,1308,501
161,393,1107,1075,1118,1014,502,1309,502
162,391,1110,1076,1121,1012,505,1310,505
163,391,1111,1076,1122,1012,506,1310,506
164,400,1106,1077,1117,1021,501,1311,501
165,405,1105,1081,1116,1026,500,1315,500
166,402,1111,1080,1122,1023,506,1314,506
167,407,1112,1081,1123,1028,507,1315,507
168,412,1112,1086,1123,1033,507,1320,507
169,415,1113,1089,1124,1036,508,1323,508
170,419,1111,1093,1122,1040,506,1327,506
171,424,1111,1098,1122,1045,506,1332,506
172,428,1109,1102,1120,1049,504,1336,504
173,428,1113,1102,1124,1049,508,1336,508
174,429,1114,1103,1125,1050,509,1337,509
175,431,1115,1103,1126,1052,510,1337,510
176,434,1115,1107,1126,1055,510,1341,510
177,436,1115,1108,1126,1057,510,1342,510
178,437,1117,1112,1128,1058,512,1346,512
179,439,1118,1115,1129,1060,513,1349,513
180,441,1119,1118,1130,1062,514,1352,514
181,444,1119,1120,1130,1065,514,1354,514
182,446,1118,1122,1129,1067,513,1356,513
183,453,1113,1126,1124,1074,508,1360,508
184,455,1113,1127,1124,1076,508,1361,508
185,454,1116,1128,1127,1075,511,1362,511
186,453,1118,1127,1129,1074,513,1361,513
187,456,1118,1132,1129,1077,513,1366,513
188,459,1118,1133,1129,1080,513,1367,513
189,459,1118,1134,1129,1080,513,1368,513
190,455,1120,1134,1131,1076,515,1368,515
191,456,1119,1135,1130,1077,514,1369,514
192,454,1122,1134,1133,1075,517,1368,517
193,457,1120,1135,1131,1078,515,1369,515
194,451,1120,1135,1131,1072,515,1369,515
195,457,1120,1135,1131,1078,515,1369,515
196,461,1120,1136,1131,1082,515,1370,515
197,460,1120,1137,1131,1081,515,1371,515
