Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,791,1048,1309,1053,1109,264,1229,264
1,791,1048,1309,1053,1107,268,1230,269
2,791,1048,1309,1053,1107,268,1230,269
3,791,1048,1309,1053,1107,268,1229,269
4,793,1048,1308,1053,1099,270,1230,271
5,793,1048,1307,1053,1099,270,1231,271
6,793,1048,1308,1053,1099,271,1229,272
7,793,1048,1308,1053,1099,270,1228,271
8,792,1048,1308,1053,1101,271,1231,272
9,792,1048,1308,1053,1104,269,1229,270
10,793,1048,1308,1053,1099,270,1229,271
11,793,1048,1309,1053,1099,270,1230,271
12,792,1048,1309,1053,1100,270,1229,271
13,792,1048,1309,1053,1100,270,1229,271
14,792,1048,1308,1053,1100,270,1228,271
15,792,1048,1309,1053,1100,270,1230,271
16,784,1048,1308,1053,1098,270,1229,271
17,792,1048,1308,1053,1104,269,1228,270
18,786,1048,1308,1053,1089,274,1232,275
19,786,1048,1307,1053,1089,273,1234,274
20,785,1048,1307,1053,1094,272,1231,273
21,786,1048,1308,1053,1090,272,1229,273
22,786,1048,1308,1053,1090,272,1228,273
23,785,1048,1308,1053,1094,272,1229,273
24,785,1048,1308,1053,1091,272,1230,273
25,785,1048,1308,1053,1091,273,1233,274
26,785,1048,1308,1053,1096,272,1233,273
27,786,1048,1307,1053,1089,273,1231,274
28,796,1048,1308,1053,1091,272,1230,273
29,796,1048,1308,1053,1091,272,1228,273
30,786,1048,1308,1053,1094,271,1228,272
31,793,1048,1308,1053,1102,269,1228,270
32,793,1048,1308,1053,1102,269,1229,270
33,785,1048,1308,1053,1096,271,1230,272
34,785,1048,1307,1053,1096,271,1231,272
35,791,1048,1307,1053,1113,268,1232,269
36,791,1048,1307,1053,1114,267,1230,268
37,791,1048,1307,1053,1106,269,1230,270
38,790,1048,1307,1053,1113,267,1230,268
39,790,1048,1307,1053,1113,267,1230,268
40,790,1048,1307,1053,1113,268,1232,269
41,790,1048,1307,1053,1113,267,1230,268
42,791,1048,1308,1053,1114,267,1228,268
43,791,1048,1308,1053,1114,267,1227,268
44,790,1048,1308,1053,1113,268,1229,269
45,791,1048,1308,1053,1113,268,1228,269
46,792,1048,1308,1053,1100,270,1229,271
47,791,1048,1307,1053,1106,269,1231,270
48,790,1048,1307,1053,1113,267,1231,268
49,790,1048,1307,1053,1113,267,1231,268
50,791,1048,1307,1053,1114,267,1230,268
51,790,1048,1308,1053,1113,268,1229,269
52,790,1048,1308,1053,1113,268,1232,269
53,791,1048,1307,1053,1114,267,1230,268
54,790,1048,1306,1053,1113,268,1232,269
55,792,1048,1307,1053,1106,269,1232,270
56,791,1048,1307,1053,1108,269,1230,270
57,791,1048,1308,1053,1106,270,1230,271
58,791,1048,1308,1053,1106,269,1229,270
59,791,1048,1308,1053,1106,269,1228,270
60,791,1048,1308,1053,1106,269,1228,270
61,791,1048,1308,1053,1106,269,1228,270
62,791,1048,1308,1053,1106,269,1228,270
63,791,1048,1308,1053,1106,269,1229,270
64,791,1048,1309,1053,1106,269,1227,270
65,791,1048,1308,1053,1106,269,1228,270
66,791,1048,1308,1053,1106,269,1229,270
67,791,1048,1307,1053,1106,270,1230,271
68,791,1048,1308,1053,1106,269,1228,270
69,791,1048,1307,1053,1106,270,1230,271
70,791,1048,1307,1053,1106,269,1231,270
71,791,1048,1308,1053,1106,269,1228,270
72,791,1048,1308,1053,1106,270,1230,271
73,791,1048,1307,1053,1106,269,1231,270
74,791,1048,1307,1053,1106,270,1230,271
75,791,1048,1307,1053,1106,270,1230,271
76,791,1048,1308,1053,1106,269,1229,270
77,791,1048,1308,1053,1106,269,1229,270
78,791,1048,1309,1053,1106,270,1230,271
79,791,1048,1308,1053,1106,269,1229,270
80,791,1048,1308,1053,1106,269,1229,270
81,791,1048,1308,1053,1106,269,1228,270
82,791,1048,1308,1053,1106,269,1228,270
83,791,1048,1308,1053,1106,268,1228,269
84,791,1048,1308,1053,1108,265,1228,265
85,791,1048,1308,1053,1108,264,1228,264
86,791,1048,1308,1053,1108,264,1228,264
87,791,1048,1308,1053,1108,264,1228,264
88,791,1048,1308,1053,1108,265,1228,265
89,791,1048,1308,1053,1151,158,1217,159
