Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
136,481,1041,1267,1077,1315,202,1474,206
137,481,1042,1267,1078,1315,202,1473,206
138,481,1042,1267,1078,1314,202,1473,206
139,480,1042,1267,1076,1314,202,1473,206
140,480,1042,1267,1076,1313,203,1473,207
141,480,1042,1267,1076,1315,202,1473,206
142,478,1042,1267,1076,1313,203,1473,207
143,478,1042,1266,1076,1315,202,1473,206
144,477,1042,1266,1078,1316,202,1474,206
145,477,1041,1267,1077,1315,203,1475,207
146,477,1041,1266,1077,1316,202,1476,206
147,476,1041,1266,1077,1316,202,1476,206
148,476,1041,1266,1077,1316,202,1477,206
149,476,1041,1266,1077,1314,203,1477,207
150,476,1041,1266,1077,1314,203,1477,207
151,476,1041,1266,1077,1314,203,1477,207
152,476,1041,1267,1076,1314,203,1478,207
153,476,1041,1267,1075,1314,203,1478,207
154,475,1042,1266,1076,1313,204,1478,208
155,476,1042,1266,1076,1315,203,1479,207
156,477,1041,1266,1075,1315,203,1479,207
157,477,1041,1265,1077,1315,203,1478,207
158,477,1041,1265,1077,1315,203,1478,207
159,477,1041,1265,1077,1315,203,1478,207
160,477,1041,1265,1077,1315,203,1479,207
161,476,1042,1264,1078,1315,203,1479,207
162,476,1041,1265,1077,1313,204,1478,208
163,476,1041,1265,1077,1313,204,1478,208
164,476,1041,1265,1077,1314,203,1479,207
165,477,1040,1265,1076,1314,203,1479,207
166,477,1040,1265,1076,1314,203,1479,207
167,477,1040,1266,1076,1313,204,1479,208
168,477,1040,1265,1076,1313,204,1478,208
169,476,1041,1265,1077,1313,204,1478,208
170,475,1041,1265,1077,1313,203,1478,207
171,474,1041,1266,1077,1312,203,1479,207
172,474,1040,1266,1075,1312,203,1478,207
173,475,1040,1266,1075,1312,203,1478,207
174,475,1040,1267,1075,1312,203,1478,207
175,476,1040,1267,1075,1312,204,1478,208
176,477,1041,1266,1075,1312,204,1477,208
177,477,1041,1267,1076,1312,203,1478,207
178,480,1041,1266,1075,1310,205,1476,209
179,481,1041,1266,1075,1311,204,1476,208
180,483,1041,1266,1075,1311,204,1475,208
181,485,1041,1266,1075,1311,204,1474,208
182,487,1040,1266,1075,1310,204,1474,208
183,489,1040,1266,1075,1309,205,1473,209
184,491,1040,1266,1075,1309,204,1473,208
185,493,1040,1266,1075,1310,204,1473,208
186,494,1041,1266,1075,1310,204,1474,208
187,494,1041,1265,1075,1309,204,1473,208
188,496,1041,1266,1075,1305,208,1473,212
189,496,1041,1266,1075,1305,208,1473,212
190,497,1041,1266,1075,1306,207,1473,211
191,497,1041,1266,1075,1305,208,1474,212
192,497,1041,1266,1075,1305,208,1474,212
193,496,1042,1265,1077,1305,208,1474,212
194,494,1041,1266,1075,1305,208,1476,212
195,495,1042,1266,1076,1305,208,1476,212
196,495,1042,1266,1076,1305,208,1476,212
197,494,1042,1266,1076,1304,208,1477,212
198,494,1042,1266,1076,1305,208,1478,212
199,492,1042,1266,1076,1305,208,1478,212
200,491,1042,1265,1076,1305,208,1478,212
201,490,1042,1265,1076,1306,208,1478,212
202,488,1043,1266,1078,1306,208,1478,212
203,487,1043,1265,1078,1305,208,1478,212
204,487,1043,1266,1078,1305,208,1477,212
205,485,1043,1265,1079,1305,208,1477,212
206,485,1043,1265,1079,1308,205,1477,209
207,484,1043,1265,1079,1307,205,1476,209
208,484,1043,1265,1077,1307,205,1476,209
209,484,1043,1265,1077,1307,205,1476,209
210,483,1043,1264,1079,1304,207,1475,211
211,483,1043,1264,1079,1304,207,1475,211
212,483,1043,1265,1079,1304,206,1475,210
213,484,1043,1265,1079,1306,203,1476,207
214,485,1043,1264,1079,1306,204,1475,208
215,485,1043,1264,1079,1305,204,1475,208
216,485,1044,1265,1078,1304,204,1476,208
217,486,1044,1265,1078,1304,205,1476,209
218,487,1044,1265,1078,1304,205,1476,209
219,487,1044,1265,1079,1304,205,1476,209
220,487,1043,1265,1077,1305,205,1476,209
221,485,1043,1265,1079,1305,205,1476,209
222,483,1043,1265,1079,1306,205,1477,209
223,482,1043,1265,1079,1306,206,1477,210
224,480,1043,1265,1079,1307,206,1478,210
225,479,1043,1265,1079,1305,207,1478,211
226,478,1043,1265,1079,1306,208,1477,212
227,477,1043,1266,1079,1311,203,1478,207
228,477,1043,1266,1077,1312,203,1478,207
229,474,1043,1265,1078,1312,203,1477,207
230,474,1043,1266,1078,1313,203,1478,207
231,473,1043,1266,1078,1314,202,1477,206
232,473,1043,1266,1078,1314,202,1477,206
233,474,1042,1266,1077,1315,201,1477,205
234,471,1043,1266,1078,1313,202,1478,206
235,472,1042,1266,1077,1313,202,1477,206
236,473,1042,1266,1077,1313,202,1477,206
237,473,1043,1266,1079,1314,202,1477,206
238,473,1043,1266,1079,1314,202,1476,206
239,473,1043,1266,1079,1313,203,1476,207
240,473,1043,1266,1079,1314,202,1476,206
241,473,1043,1266,1079,1314,202,1476,206
242,473,1043,1266,1079,1315,201,1476,205
243,474,1042,1267,1077,1315,201,1476,205
244,473,1042,1267,1077,1313,202,1476,206
245,473,1042,1267,1077,1454,61,1509,62
246,472,1043,1267,1078,1450,65,1508,66
247,472,1043,1267,1078,1455,60,1508,61
248,472,1043,1267,1078,1455,60,1508,61
249,472,1043,1267,1078,1455,60,1508,61
250,472,1043,1267,1077,1455,60,1508,61
251,471,1044,1267,1078,1455,60,1508,61
252,471,1044,1266,1078,1455,60,1507,61
253,471,1044,1267,1078,1455,60,1508,61
254,472,1043,1267,1077,1450,65,1507,66
255,472,1043,1266,1077,1450,65,1508,66
