x,y,z
6.000000000000000000e+02,9.400000000000000000e+02,1.000000000000000000e+00
1.520000000000000000e+03,9.500000000000000000e+02,1.000000000000000000e+00
1.382000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+03,4.900000000000000000e+02,1.000000000000000000e+00
