x,y,z
5.920000000000000000e+02,9.000000000000000000e+02,1.000000000000000000e+00
1.530000000000000000e+03,9.100000000000000000e+02,1.000000000000000000e+00
1.396000000000000000e+03,4.600000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+03,4.500000000000000000e+02,1.000000000000000000e+00
