Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,550,1028,1309,1039,1228,181,1410,182
1,550,1028,1309,1039,1228,181,1410,182
2,549,1029,1309,1040,1228,181,1411,182
3,549,1029,1309,1040,1228,181,1411,182
4,549,1029,1309,1040,1228,181,1411,182
5,549,1029,1309,1040,1228,181,1411,182
6,549,1029,1309,1040,1228,181,1410,182
7,549,1029,1309,1040,1228,181,1410,182
8,549,1029,1309,1040,1228,181,1411,182
9,549,1029,1309,1040,1228,181,1410,182
10,549,1029,1309,1040,1228,181,1411,182
11,549,1029,1309,1040,1228,181,1410,182
12,549,1029,1309,1040,1228,181,1410,182
13,549,1029,1309,1040,1228,181,1410,182
14,549,1029,1309,1040,1228,181,1410,182
15,549,1029,1309,1040,1228,181,1410,182
16,549,1029,1309,1040,1228,181,1410,182
17,549,1029,1309,1040,1228,181,1410,182
18,549,1029,1309,1040,1228,181,1410,182
19,549,1029,1309,1040,1228,181,1411,182
20,549,1029,1309,1040,1228,181,1411,182
21,549,1029,1309,1040,1228,181,1411,182
22,549,1029,1309,1040,1228,181,1410,182
23,550,1028,1309,1039,1228,181,1411,182
24,550,1028,1309,1039,1228,181,1411,182
25,550,1028,1309,1039,1228,181,1410,182
26,550,1028,1309,1039,1228,181,1411,182
27,550,1028,1309,1039,1228,181,1410,182
28,550,1028,1309,1039,1228,181,1410,182
29,550,1028,1309,1040,1228,181,1410,182
30,550,1028,1309,1040,1228,181,1410,182
31,550,1028,1309,1040,1228,181,1410,182
32,550,1028,1309,1040,1228,181,1411,182
33,550,1028,1309,1040,1229,180,1411,181
34,550,1028,1309,1040,1228,180,1411,181
35,550,1028,1309,1040,1229,180,1411,181
36,550,1028,1309,1040,1228,181,1410,182
37,550,1028,1309,1040,1228,181,1410,182
38,550,1028,1309,1039,1228,181,1410,182
39,550,1028,1309,1039,1228,181,1410,182
40,550,1028,1309,1039,1228,181,1410,182
41,550,1028,1309,1039,1228,181,1410,182
42,550,1028,1309,1039,1228,181,1410,182
43,550,1028,1309,1039,1228,181,1410,182
44,550,1028,1309,1039,1228,181,1411,182
45,550,1028,1309,1039,1228,181,1411,182
46,550,1028,1309,1039,1228,181,1410,182
47,550,1028,1309,1039,1228,181,1411,182
48,550,1028,1309,1039,1228,181,1410,182
49,549,1029,1309,1040,1228,181,1410,182
50,549,1029,1309,1040,1228,181,1410,182
51,549,1029,1309,1040,1228,181,1410,182
52,549,1029,1309,1040,1228,181,1410,182
53,549,1029,1309,1040,1228,181,1410,182
54,549,1029,1309,1040,1228,181,1410,182
55,549,1029,1309,1040,1229,180,1411,181
56,549,1029,1309,1040,1229,180,1411,181
57,549,1029,1309,1040,1229,180,1411,181
58,549,1029,1309,1040,1229,180,1411,181
59,549,1029,1309,1040,1229,180,1410,181
60,549,1029,1309,1040,1229,180,1410,181
61,549,1029,1309,1040,1229,180,1410,181
62,549,1029,1309,1040,1229,180,1410,181
63,549,1029,1309,1040,1229,180,1410,181
64,549,1029,1309,1040,1229,180,1410,181
65,549,1029,1309,1040,1229,180,1410,181
66,549,1029,1309,1040,1229,180,1410,181
67,549,1029,1309,1040,1229,180,1410,181
68,549,1029,1309,1040,1229,180,1410,181
69,549,1029,1309,1040,1229,180,1410,181
70,549,1029,1309,1040,1229,180,1410,181
71,549,1029,1309,1040,1229,180,1410,181
72,549,1029,1309,1040,1229,180,1410,181
73,549,1029,1309,1040,1229,180,1410,181
74,549,1029,1309,1040,1229,180,1410,181
75,549,1029,1309,1040,1229,180,1410,181
76,549,1029,1309,1040,1229,180,1410,181
77,549,1029,1309,1040,1229,180,1410,181
78,549,1029,1309,1040,1229,180,1410,181
79,549,1029,1309,1040,1229,180,1410,181
80,549,1029,1309,1040,1229,180,1410,181
81,549,1029,1309,1040,1229,180,1410,181
82,549,1029,1309,1040,1229,180,1410,181
83,549,1029,1309,1040,1229,180,1410,181
84,549,1029,1309,1040,1229,180,1410,181
85,549,1029,1309,1040,1229,180,1410,181
86,549,1029,1309,1040,1229,180,1410,181
87,549,1029,1309,1040,1229,180,1410,181
88,549,1029,1309,1040,1228,180,1411,182
89,549,1029,1309,1040,1229,180,1410,181
90,549,1029,1309,1040,1229,180,1410,181
91,549,1029,1309,1040,1229,180,1410,181
92,549,1029,1309,1040,1229,180,1410,181
93,549,1029,1309,1040,1229,180,1410,181
94,549,1029,1309,1040,1229,180,1410,181
95,549,1029,1309,1040,1229,180,1410,181
96,549,1029,1309,1040,1229,180,1410,181
97,549,1029,1309,1040,1229,180,1410,181
98,549,1029,1309,1040,1229,180,1410,181
99,549,1029,1309,1040,1229,180,1410,181
100,549,1029,1309,1040,1229,180,1410,181
