frame,x,y
37,328,2204
38,333,2189
39,338,2173
40,343,2157
41,348,2142
42,353,2126
43,357,2110
44,362,2095
45,367,2079
46,372,2063
47,377,2048
48,381,2032
49,386,2016
50,391,2000
51,395,1985
52,400,1969
53,405,1953
54,409,1937
55,414,1921
56,418,1906
57,423,1890
58,427,1874
59,432,1858
60,437,1842
61,441,1826
62,446,1810
63,450,1794
64,454,1778
65,459,1762
66,463,1746
67,470,1722
68,475,1706
69,480,1689
70,484,1673
71,489,1657
72,493,1641
73,498,1625
74,502,1608
75,506,1592
76,511,1576
77,515,1560
78,520,1544
79,524,1528
80,528,1512
81,532,1496
82,536,1479
83,540,1463
84,544,1447
85,548,1431
86,552,1414
87,555,1398
88,559,1382
89,563,1365
90,566,1349
91,570,1332
92,573,1316
93,576,1299
94,580,1283
95,583,1266
96,586,1249
97,589,1232
98,592,1216
99,595,1199
100,597,1182
101,600,1165
102,603,1149
103,605,1132
104,607,1115
105,610,1098
106,612,1082
107,615,1065
108,617,1049
109,619,1033
110,621,1017
111,623,1001
112,625,985
113,626,969
114,628,954
115,630,939
116,631,923
117,633,908
118,634,894
119,636,879
120,637,865
121,638,850
122,639,836
123,640,822
124,641,808
125,641,794
126,642,780
127,643,767
128,643,753
129,643,740
130,643,726
131,643,713
132,643,699
133,642,685
134,642,672
135,641,658
136,640,644
137,639,631
138,638,617
139,636,603
140,635,589
141,633,575
142,631,568
143,629,554
144,626,541
145,623,527
146,620,513
147,616,500
148,612,486
149,608,473
150,604,459
151,600,446
152,596,432
153,591,419
154,586,405
155,581,392
156,575,378
157,570,365
158,564,352
159,558,338
160,552,325
161,545,311
162,539,298
163,532,285
164,525,271
165,518,258
166,510,245
167,503,232
168,495,218
169,487,205
170,478,192
171,470,179
