frame,x,y
37,332,2201
38,337,2185
39,342,2169
40,347,2152
41,353,2136
42,358,2120
43,363,2103
44,368,2087
45,373,2071
46,378,2054
47,383,2038
48,388,2022
49,393,2006
50,398,1990
51,402,1973
52,407,1957
53,412,1941
54,417,1925
55,422,1909
56,426,1893
57,431,1877
58,436,1860
59,440,1844
60,445,1828
61,449,1812
62,454,1796
63,458,1780
64,463,1764
65,467,1748
66,472,1732
67,478,1709
68,483,1694
69,487,1678
70,491,1663
71,496,1647
72,500,1632
73,504,1616
74,508,1601
75,513,1585
76,517,1569
77,521,1553
78,525,1538
79,529,1522
80,533,1506
81,537,1490
82,541,1474
83,545,1458
84,549,1442
85,553,1425
86,556,1409
87,560,1393
88,564,1376
89,567,1360
90,570,1344
91,574,1327
92,577,1311
93,580,1294
94,584,1277
95,587,1260
96,590,1243
97,593,1226
98,596,1210
99,598,1193
100,601,1176
101,604,1159
102,606,1142
103,609,1126
104,611,1109
105,614,1093
106,616,1076
107,618,1060
108,620,1044
109,622,1028
110,624,1012
111,626,996
112,628,980
113,630,965
114,632,950
115,633,935
116,635,920
117,636,905
118,638,890
119,639,876
120,640,861
121,641,847
122,642,832
123,643,818
124,644,804
125,645,790
126,645,776
127,645,762
128,646,749
129,646,735
130,646,721
131,646,707
132,645,694
133,645,680
134,644,667
135,643,653
136,642,639
137,641,625
138,640,612
139,638,598
140,636,584
141,634,570
142,631,556
143,629,541
144,626,527
145,623,513
146,621,506
147,618,493
148,614,480
149,610,467
150,606,454
151,602,441
152,597,428
153,593,415
154,588,402
155,583,389
156,577,376
157,572,364
158,566,351
159,560,339
160,554,326
161,548,314
162,542,301
163,535,289
164,528,277
165,521,265
166,513,252
167,506,240
168,498,228
169,490,216
170,482,204
171,474,193
172,465,181
173,456,169
174,447,157
175,438,146
