frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,48.0,1784.0
65,48.0,1773.0
66,48.0,1757.0
67,49.0,1749.0
68,51.0,1742.0
69,51.0,1735.0
70,51.0,1721.0
71,53.0,1719.0
72,53.0,1709.0
73,54.0,1696.0
74,,
75,56.0,1679.0
76,54.0,1655.0
77,54.0,1643.0
78,55.0,1632.0
79,55.0,1628.0
80,56.0,1614.0
81,56.0,1597.0
82,57.0,1587.0
83,57.0,1571.0
84,58.0,1559.0
85,58.0,1546.0
86,58.0,1528.0
87,59.0,1520.0
88,59.0,1509.0
89,59.0,1491.0
90,60.0,1484.0
91,60.0,1475.0
92,60.0,1452.0
93,61.0,1446.0
94,61.0,1426.0
95,61.0,1412.0
96,61.0,1399.0
97,62.0,1388.0
98,61.0,1371.0
99,62.0,1356.0
100,63.0,1341.0
101,63.0,1332.0
102,63.0,1312.0
103,63.0,1294.0
104,64.0,1283.0
105,64.0,1266.0
106,64.0,1254.0
107,64.0,1243.0
108,64.0,1225.0
109,65.0,1217.0
110,65.0,1204.0
111,65.0,1198.0
112,65.0,1184.0
113,66.0,1167.0
114,66.0,1162.0
115,66.0,1147.0
116,66.0,1139.0
117,67.0,1129.0
118,66.0,1117.0
119,67.0,1108.0
120,67.0,1098.0
121,67.0,1094.0
122,67.0,1082.0
123,67.0,1071.0
124,68.0,1059.0
125,69.0,1051.0
126,68.0,1030.0
127,70.0,1029.0
128,69.0,1013.0
129,69.0,1003.0
130,69.0,993.0
131,70.0,973.0
132,69.0,960.0
133,70.0,957.0
134,70.0,947.0
135,70.0,937.0
136,71.0,923.0
137,71.0,906.0
138,71.0,891.0
139,72.0,895.0
140,71.0,873.0
141,72.0,866.0
142,72.0,853.0
143,73.0,837.0
144,72.0,833.0
145,72.0,812.0
146,72.0,806.0
147,71.0,798.0
148,71.0,782.0
149,72.0,748.0
150,72.0,748.0
151,72.0,744.0
152,72.0,727.0
153,72.0,707.0
154,74.0,701.0
155,72.0,681.0
156,76.0,675.0
157,72.0,668.0
158,73.0,652.0
159,72.0,641.0
160,72.0,628.0
161,73.0,611.0
162,74.0,603.0
163,74.0,586.0
164,74.0,569.0
165,71.0,396.0
166,71.0,522.0
167,74.0,531.0
168,74.0,520.0
169,74.0,508.0
170,76.0,508.0
171,75.0,473.0
172,75.0,469.0
173,75.0,449.0
174,75.0,449.0
175,75.0,442.0
176,74.0,429.0
177,75.0,407.0
178,75.0,393.0
179,74.0,379.0
180,73.0,358.0
181,74.0,359.0
182,75.0,342.0
183,75.0,327.0
184,76.0,310.0
185,75.0,311.0
186,75.0,302.0
187,76.0,293.0
188,75.0,284.0
189,,
190,,
191,,
192,74.0,259.0
193,71.0,195.0
194,,
195,,
196,,
197,71.0,193.0
198,69.0,184.0
199,70.0,176.0
200,69.0,159.0
201,69.0,152.0
202,,
203,68.0,143.0
204,68.0,126.0
205,67.0,111.0
206,66.0,109.0
207,67.0,109.0
208,66.0,109.0
209,67.0,99.0
210,,
211,64.0,54.0
212,63.0,63.0
213,65.0,72.0
214,,
215,,
216,,
217,67.0,-35.0
218,,
219,,
220,64.0,-96.0
221,56.0,-229.0
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,63.0,-433.0
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
