frame,x,y
46,26,1646
47,27,1609
48,29,1572
49,30,1536
50,31,1500
51,33,1466
52,34,1431
53,35,1398
54,37,1365
55,38,1332
56,40,1300
57,41,1269
58,42,1237
59,44,1206
60,45,1176
61,46,1146
62,48,1116
63,49,1086
64,50,1057
65,52,1027
66,53,998
67,54,969
68,56,940
69,57,911
70,58,881
71,60,852
72,61,821
73,62,792
74,63,763
75,65,734
76,66,705
77,67,675
78,68,645
79,70,616
80,71,586
81,72,555
82,73,525
83,74,494
84,76,463
85,77,431
86,78,399
87,79,367
88,80,334
89,81,301
90,82,267
91,83,233
92,84,198
93,85,163
94,86,126
