frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,28.0,1727.0
43,29.0,1721.0
44,31.0,1724.0
45,31.0,1714.0
46,33.0,1713.0
47,34.0,1722.0
48,34.0,1725.0
49,36.0,1688.0
50,37.0,1678.0
51,37.0,1666.0
52,38.0,1653.0
53,39.0,1640.0
54,41.0,1637.0
55,41.0,1623.0
56,42.0,1612.0
57,42.0,1604.0
58,43.0,1591.0
59,44.0,1573.0
60,45.0,1570.0
61,46.0,1549.0
62,46.0,1540.0
63,46.0,1532.0
64,48.0,1510.0
65,48.0,1497.0
66,49.0,1482.0
67,50.0,1466.0
68,50.0,1469.0
69,50.0,1460.0
70,52.0,1441.0
71,53.0,1429.0
72,53.0,1418.0
73,54.0,1405.0
74,55.0,1391.0
75,55.0,1378.0
76,56.0,1373.0
77,56.0,1354.0
78,58.0,1332.0
79,58.0,1332.0
80,59.0,1319.0
81,59.0,1305.0
82,60.0,1282.0
83,61.0,1283.0
84,62.0,1267.0
85,62.0,1251.0
86,63.0,1232.0
87,64.0,1220.0
88,64.0,1205.0
89,64.0,1193.0
90,65.0,1171.0
91,66.0,1159.0
92,67.0,1134.0
93,67.0,1116.0
94,68.0,1128.0
95,68.0,1140.0
96,69.0,1124.0
97,70.0,1092.0
98,71.0,1075.0
99,71.0,1096.0
100,71.0,1091.0
101,74.0,1070.0
102,73.0,1041.0
103,74.0,1029.0
104,74.0,1035.0
105,67.0,759.0
106,75.0,974.0
107,76.0,1023.0
108,66.0,781.0
109,66.0,722.0
110,80.0,965.0
111,68.0,739.0
112,76.0,933.0
113,67.0,745.0
114,80.0,856.0
115,81.0,856.0
116,82.0,857.0
117,81.0,821.0
118,81.0,838.0
119,82.0,785.0
120,84.0,778.0
121,83.0,739.0
122,84.0,753.0
123,84.0,738.0
124,84.0,738.0
125,85.0,735.0
126,85.0,761.0
127,85.0,778.0
128,87.0,458.0
129,86.0,396.0
130,86.0,449.0
131,86.0,784.0
132,79.0,784.0
133,73.0,450.0
134,91.0,657.0
135,90.0,623.0
136,92.0,628.0
137,93.0,612.0
138,78.0,708.0
139,93.0,595.0
140,93.0,582.0
141,93.0,579.0
142,91.0,559.0
143,93.0,546.0
144,92.0,533.0
145,93.0,550.0
146,93.0,515.0
147,93.0,510.0
148,93.0,514.0
149,93.0,487.0
150,93.0,480.0
151,93.0,466.0
152,93.0,445.0
153,93.0,413.0
154,93.0,412.0
155,93.0,384.0
156,93.0,345.0
157,92.0,345.0
158,92.0,370.0
159,92.0,348.0
160,92.0,372.0
161,91.0,300.0
162,90.0,324.0
163,90.0,332.0
164,89.0,324.0
165,88.0,306.0
166,88.0,274.0
167,86.0,290.0
168,86.0,231.0
169,86.0,230.0
170,85.0,272.0
171,84.0,281.0
172,83.0,204.0
173,83.0,345.0
174,81.0,231.0
175,80.0,187.0
176,78.0,151.0
177,77.0,151.0
178,76.0,115.0
179,75.0,115.0
180,73.0,115.0
181,71.0,97.0
182,70.0,59.0
183,68.0,97.0
184,69.0,124.0
185,68.0,133.0
186,67.0,106.0
187,64.0,68.0
188,62.0,19.0
189,62.0,-60.0
190,60.0,-50.0
191,60.0,-70.0
192,60.0,-82.0
193,57.0,169.0
194,57.0,133.0
195,55.0,58.0
196,56.0,97.0
197,56.0,68.0
198,57.0,274.0
199,57.0,78.0
200,54.0,30.0
201,53.0,79.0
202,53.0,30.0
203,55.0,227.0
204,65.0,40.0
205,51.0,128.0
206,73.0,131.0
207,38.0,-64.0
208,61.0,80.0
209,61.0,70.0
210,73.0,370.0
211,61.0,202.0
212,67.0,324.0
213,67.0,371.0
214,68.0,386.0
215,68.0,469.0
216,68.0,439.0
217,68.0,465.0
218,66.0,437.0
219,69.0,241.0
220,67.0,196.0
221,68.0,-65.0
222,67.0,216.0
223,68.0,260.0
