frame,x,y,radius
37,880,856,65
38,889,844,65
39,900,833,64
40,908,823,63
41,916,812,63
42,924,802,62
43,934,791,62
44,942,782,61
45,951,772,60
46,958,763,60
47,966,755,59
48,972,747,59
49,977,739,58
50,983,732,58
51,988,726,57
52,991,721,57
53,996,715,56
54,1001,708,56
55,1007,702,55
56,1012,696,55
57,1016,691,54
58,1021,685,54
59,1026,679,54
60,1031,673,53
61,1037,667,53
62,1045,661,52
63,1050,654,52
64,1055,648,51
65,1059,643,51
66,1064,637,51
67,1068,634,50
68,1072,629,50
69,1077,625,50
70,1082,620,49
71,1088,615,49
72,1090,615,48
73,1094,612,48
74,1099,609,48
75,1102,609,47
76,1104,609,47
77,1108,606,47
78,1111,605,47
79,1115,604,46
80,1118,605,46
81,1121,604,46
82,1122,608,45
83,1125,607,45
84,1129,607,45
85,1132,606,44
86,1135,607,44
87,1138,604,44
88,1141,603,44
89,1143,604,43
90,1146,603,43
91,1149,600,43
92,1152,597,43
93,1154,597,42
94,1157,594,42
95,1158,592,42
96,1161,591,42
97,1164,587,42
98,1166,583,41
99,1169,581,41
100,1171,578,41
101,1172,576,41
102,1174,577,40
103,1176,575,40
104,1177,571,40
105,1179,570,40
106,1180,567,40
107,1182,565,40
108,1182,564,39
109,1183,562,39
110,1184,559,39
111,1185,558,39
112,1185,557,39
113,1185,556,38
114,1186,555,38
115,1187,552,38
116,1188,547,38
117,1188,545,38
118,1188,544,38
119,1189,539,38
120,1190,537,37
121,1189,538,37
122,1190,535,37
123,1189,535,37
124,1189,534,37
125,1189,533,37
126,1190,528,37
127,1190,526,36
128,1191,521,36
129,1190,520,36
130,1190,519,36
131,1190,516,36
132,1191,513,36
133,1191,511,36
134,1192,511,36
135,1192,509,35
136,1195,507,35
137,1199,503,35
138,1203,500,35
139,1208,499,35
140,1212,498,35
141,1215,496,35
142,1217,497,35
143,1219,493,35
144,1220,493,35
145,1224,488,34
146,1224,491,34
147,1224,493,34
148,1226,494,34
149,1228,495,34
150,1229,498,34
151,1233,499,34
152,1235,498,34
153,1238,497,34
154,1237,501,34
155,1238,500,34
156,1237,501,33
157,1239,499,33
158,1241,494,33
159,1238,497,33
160,1235,498,33
161,1234,497,33
162,1232,499,33
163,1230,498,33
164,1230,491,33
165,1232,489,33
166,1228,493,33
167,1228,493,33
168,1230,492,33
169,1231,492,33
170,1232,489,33
171,1234,489,32
172,1235,486,32
173,1232,490,32
174,1230,490,32
175,1228,491,32
