frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,1040.0,696.0,56.0,0.6496024772675111,0.3222427864590559,-0.68860453680107,0.2336405220852025
77,1061.0,668.0,54.0,0.3825204422189132,-0.3137464081300865,0.8690462028397089,0.1293586992209019
78,1080.0,643.0,52.0,-0.4050674917120433,-0.5950981349347215,-0.6941026847342762,0.6905111475008137
79,1098.0,618.0,51.0,-0.4130500890896321,-0.5727322300459847,-0.7080730305339982,0.3016578775244057
80,1114.0,596.0,49.0,0.284421186490188,0.2475697582105977,-0.926182381334832,1.2448539829192629
81,1130.0,575.0,48.0,0.0600293288864544,-0.5092534589163596,0.8585204681632032,0.4834788938178361
82,,,,,,,
83,,,,,,,
84,1171.0,520.0,44.0,0.0595075166236266,0.8144928257261169,-0.5771137602812589,0.2688068512809315
85,1183.0,503.0,43.0,0.7091832817088747,0.0604222430250614,0.7024302282023827,0.3419630543673817
86,1194.0,488.0,42.0,-0.0045719922867249,-0.9999818582410868,0.0039217439020679,0.2741767775985961
87,1205.0,473.0,41.0,0.2769457462946028,-0.9207175790751728,0.2749185210044581,0.754021132743893
88,1215.0,459.0,40.0,-0.0359726358623912,-0.4812782637394897,-0.8758294367746576,0.621792973894396
89,1225.0,446.0,39.0,0.6277077926428793,0.3944531329418814,-0.6711107605810968,0.5436072674028789
90,1234.0,433.0,38.0,0.8923519841927683,-0.4419865987965581,-0.0914099709631279,0.3352055247805718
91,,,,,,,
