rho,theta
330.0242415338607,1.5586757082528064
329.02431521089744,1.5586388710914947
329.02431521089744,1.5586388710914947
328.01371922527875,1.5616502403661268
327.0137611783333,1.5616222722497866
327.00611615075337,1.5646801951071496
326.0061349115995,1.5646614344370207
325.00153845789714,1.5677194134281294
324.0015432062014,1.5677099168421522
324.0,1.5707963267948966
323.0,1.5707963267948966
322.001552791287,1.5739019068729154
322.001552791287,1.5739019068729154
321.00623046912966,1.5770267757697773
321.00623046912966,1.5770267757697773
320.0140621910231,1.5801710521511765
320.0140621910231,1.5801710521511765
319.0141062711804,1.5802004382750403
319.02507738420815,1.5833348546263366
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
318.0251562376788,1.5833742798071793
319.02507738420815,1.5833348546263366
319.02507738420815,1.5833348546263366
319.0141062711804,1.5802004382750403
319.0141062711804,1.5802004382750403
319.0141062711804,1.5802004382750403
319.0141062711804,1.5802004382750403
320.0140621910231,1.5801710521511765
320.0140621910231,1.5801710521511765
320.0140621910231,1.5801710521511765
320.0140621910231,1.5801710521511765
320.0140621910231,1.5801710521511765
321.01401838549043,1.5801418491023864
321.00623046912966,1.5770267757697773
321.00623046912966,1.5770267757697773
321.00623046912966,1.5770267757697773
322.0062111202205,1.577007427047763
322.0062111202205,1.577007427047763
322.0062111202205,1.577007427047763
322.0062111202205,1.577007427047763
322.0062111202205,1.577007427047763
323.0061918911153,1.5769881981274692
323.0061918911153,1.5769881981274692
323.00154798390673,1.5738922921354461
323.00154798390673,1.5738922921354461
323.00154798390673,1.5738922921354461
324.0015432062014,1.5738827367476411
324.0015432062014,1.5738827367476411
324.0015432062014,1.5738827367476411
324.0015432062014,1.5738827367476411
325.00153845789714,1.573873240161664
325.00153845789714,1.573873240161664
326.00153373872337,1.5738638018364006
328.0015243867016,1.5738450978365526
329.0,1.5707963267948966
331.0,1.5707963267948966
332.0,1.5707963267948966
334.0,1.5707963267948966
335.0,1.5707963267948966
336.0,1.5707963267948966
338.0,1.5707963267948966
339.0,1.5707963267948966
340.0,1.5707963267948966
342.0,1.5707963267948966
343.0,1.5707963267948966
344.0,1.5707963267948966
346.0,1.5707963267948966
347.0,1.5707963267948966
348.0,1.5707963267948966
350.0,1.5707963267948966
351.0,1.5707963267948966
352.0,1.5707963267948966
353.0,1.5707963267948966
355.0,1.5707963267948966
356.0,1.5707963267948966
357.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
358.0,1.5707963267948966
357.0,1.5707963267948966
356.0,1.5707963267948966
355.0,1.5707963267948966
354.0,1.5707963267948966
353.0,1.5707963267948966
352.0,1.5707963267948966
350.0,1.5707963267948966
349.0,1.5707963267948966
348.0,1.5707963267948966
346.0,1.5707963267948966
345.0,1.5707963267948966
344.0,1.5707963267948966
343.0,1.5707963267948966
341.0,1.5707963267948966
340.0,1.5707963267948966
339.0,1.5707963267948966
338.0,1.5707963267948966
336.0,1.5707963267948966
335.0,1.5707963267948966
334.0,1.5707963267948966
332.0,1.5707963267948966
331.0,1.5707963267948966
330.0,1.5707963267948966
329.0,1.5707963267948966
328.0,1.5707963267948966
327.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
326.0,1.5707963267948966
