Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1443,1443,-632,1305,1081,1081,-1305
1,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1306,1078,1078,-1306
2,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1444,1444,-631,1307,1076,1076,-1307
3,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1308,1074,1074,-1308
4,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1309,1073,1073,-1309
5,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1310,1071,1071,-1310
6,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1310,1071,1071,-1310
7,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1311,1070,1070,-1311
8,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1444,1444,-631,1311,1070,1070,-1311
9,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1444,1444,-631,1311,1070,1070,-1311
10,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1311,1070,1070,-1311
11,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1311,1070,1070,-1311
12,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1311,1070,1070,-1311
13,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1311,1070,1070,-1311
14,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1310,1071,1071,-1310
15,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1310,1071,1071,-1310
16,-1008.96270116,1033.36308607,990.96270116,1050.63691393,632,1444,1444,-632,1310,1071,1071,-1310
17,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1310,1071,1071,-1310
18,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1310,1071,1071,-1310
19,-1008.96270116,1033.36308607,990.96270116,1050.63691393,631,1445,1445,-631,1310,1071,1071,-1310
20,-1008.96270116,1033.36308607,990.96270116,1050.63691393,630,1446,1446,-630,1310,1071,1071,-1310
21,-1008.96270116,1033.36308607,990.96270116,1050.63691393,630,1446,1446,-630,1310,1070,1070,-1310
22,-1008.96270116,1033.36308607,990.96270116,1050.63691393,630,1446,1446,-630,1310,1070,1070,-1310
23,-1008.96270116,1033.36308607,990.96270116,1050.63691393,629,1447,1447,-629,1310,1070,1070,-1310
24,-1008.96270116,1033.36308607,990.96270116,1050.63691393,629,1447,1447,-629,1310,1071,1071,-1310
25,-1008.96270116,1033.36308607,990.96270116,1050.63691393,628,1448,1448,-628,1310,1071,1071,-1310
26,-1008.96270116,1033.36308607,990.96270116,1050.63691393,628,1449,1449,-628,1310,1072,1072,-1310
27,-1008.96270116,1033.36308607,990.96270116,1050.63691393,628,1449,1449,-628,1310,1072,1072,-1310
28,-1008.96270116,1033.36308607,990.96270116,1050.63691393,628,1451,1451,-628,1310,1072,1072,-1310
