"[[-1020, 931, 978, 976]]",[[1262  616 1302  511]],[[710 703 819 598]]
"[[-1019, 934, 979, 975]]",[[1208  748 1250  637]],[[ 898  519 1007  413]]
"[[-1019, 935, 979, 976]]",[[1258  615 1298  507]],[[ 896  519 1009  410]]
"[[-1018, 937, 980, 976]]",[[1182  812 1224  697]],[[638 765 793 616]]
"[[-1018, 939, 980, 978]]",[[1251  620 1308  471]],[[894 517 999 415]]
"[[-1017, 941, 981, 978]]",[[1197  758 1247  620]],[[ 890  519 1004  409]]
"[[-1017, 943, 981, 980]]",[[ 889  519 1002  410]],[[1550  440 1563  621]]
"[[-1016, 945, 982, 980]]",[[1170  823 1245  618]],[[729 764 761 653]]
"[[-1016, 947, 982, 982]]",[[1257  588 1295  487]],[[646 753 746 656]]
"[[-1016, 949, 982, 984]]",[[623 775 728 674]],[[1574  822 1584  940]]
"[[-1015, 953, 983, 986]]",[[1168  819 1239  626]],[[878 530 995 417]]
"[[-1015, 955, 983, 988]]",[[1164  827 1237  628]],[[882 526 983 428]]
"[[-1015, 958, 983, 991]]",[[1186  764 1235  630]],[[875 533 989 423]]
"[[-1015, 960, 983, 993]]",[[1067  974 1075  859]],[[1186  759 1225  655]]
"[[-1015, 963, 983, 996]]",[[1159  831 1231  635]],[[869 540 988 425]]
"[[-1015, 966, 983, 999]]",[[1158  833 1231  633]],[[869 540 976 437]]
"[[-1014, 970, 984, 1001]]",[[1062  977 1069  870]],[[1175  784 1229  637]]
"[[-1014, 973, 984, 1004]]",[[1153  844 1230  634]],[[616 789 746 667]]
"[[-1015, 975, 983, 1008]]",[[1150  851 1226  644]],[[633 775 759 653]]
"[[-1015, 978, 983, 1011]]",[[1150  849 1223  650]],[[596 811 778 635]]
"[[-1015, 982, 983, 1015]]",[[1165  804 1205  698]],[[844 572 948 471]]
"[[-1015, 986, 983, 1017]]",[[1143  864 1222  649]],[[808 610 938 484]]
"[[-1015, 989, 983, 1020]]",[[1143  866 1210  682]],[[605 810 791 630]]
"[[-1015, 992, 983, 1023]]",[[1142  869 1220  657]],[[603 816 768 656]]
"[[-1015, 994, 983, 1025]]",[[1141  872 1216  668]],[[602 819 769 657]]
"[[-1015, 997, 983, 1028]]",[[1140  875 1206  693]],[[588 835 763 666]]
"[[-1015, 1000, 983, 1031]]",[[1155  833 1211  678]],[[598 827 766 664]]
"[[-1015, 1003, 983, 1034]]",[[1135  886 1203  699]],[[595 831 726 704]]
"[[-1015, 1006, 983, 1037]]",[[1135  884 1199  709]],[[626 802 784 649]]
"[[-1015, 1008, 983, 1039]]",[[1134  885 1178  765]],[[709 722 962 477]]
"[[-1015, 1011, 983, 1042]]",[[1132  888 1210  675]],[[591 838 764 670]]
"[[-1015, 1013, 983, 1044]]",[[1130  890 1207  681]],[[590 838 765 669]]
"[[-1015, 1016, 983, 1047]]",[[1129  892 1208  677]],[[588 841 770 665]]
"[[-1015, 1018, 983, 1049]]",[[1127  894 1194  710]],[[585 844 776 659]]
"[[-1015, 1020, 983, 1051]]",[[1154  814 1192  714]],[[826 611 930 510]]
"[[-1015, 1022, 983, 1053]]",[[1152  818 1190  717]],[[582 846 769 666]]
"[[-1015, 1023, 983, 1054]]",[[1151  818 1190  715]],[[579 850 713 720]]
"[[-1015, 1025, 983, 1056]]",[[1123  895 1193  703]],[[802 634 902 537]]
"[[-1015, 1027, 983, 1058]]",[[1119  901 1192  702]],[[805 631 947 494]]
"[[-1015, 1028, 983, 1059]]",[[1117  902 1168  762]],[[840 597 948 493]]
"[[-1014, 1030, 984, 1059]]",[[1141  833 1237  581]],[[592 835 937 502]]
"[[-1014, 1031, 984, 1060]]",[[1141  829 1189  703]],[[591 835 936 502]]
