0,1,2
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1378  595 1417  722],[297 745 478 632]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[303 743 426 664],[1741  580 1844  673]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1377  592 1409  693],[331 726 501 616]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1438  796 1473  908],[377 696 503 617]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1441  802 1475  911],[384 692 501 619]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1442  805 1473  905],[303 745 427 665]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1443  805 1475  908],[322 734 465 642]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1375  574 1421  723],[321 735 459 646]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[302 746 494 626],[1744  578 1850  674]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1372  557 1430  747],[789 640 883 539]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[775 654 883 539],[331 730 477 636]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1379  572 1434  751],[758 673 883 539]
[-1013.87574348   872.23619323   985.87574348   903.76380677],[1449  803 1481  906],[762 669 883 539]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1449  801 1482  907],[765 666 884 539]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1376  554 1435  747],[775 657 885 539]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1384  571 1436  741],[313 742 515 616]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1453  796 1484  897],[787 648 891 537]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1379  547 1411  649],[320 740 432 670]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1383  554 1415  656],[341 728 519 616]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1462  806 1494  908],[800 641 897 537]
[-1013.87602281   873.2539209    985.87602281   904.7460791 ],[1463  805 1494  906],[800 643 899 537]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[802 642 901 536],[364 719 539 606]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[798 647 901 537],[324 743 521 620]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[1415  630 1451  748],[328 741 442 670]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[1399  573 1460  773],[780 669 889 552]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[1400  573 1456  757],[340 737 541 607]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[1389  537 1443  704],[768 684 906 536]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[339 739 471 654],[0 0 0 0]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[771 682 870 576],[1402  567 1459  753]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[366 723 562 596],[0 0 0 0]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[774 681 907 538],[1422  624 1460  749]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[720 740 911 535],[1399  547 1431  650]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[747 712 910 537],[1424  622 1464  752]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[726 737 913 536],[1407  564 1466  755]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[729 735 916 535],[1477  790 1511  899]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[1401  539 1451  693],[346 739 496 642]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[1480  791 1514  901],[1728  524 1876  657]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[1407  549 1473  765],[0 0 0 0]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1407  547 1473  763],[1732  526 1886  665]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1414  565 1475  765],[1784  574 1889  665]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1483  791 1517  901],[418 696 591 584]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1410  548 1477  768],[407 704 590 586]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1416  565 1477  765],[456 673 590 586]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[1417  566 1477  762],[355 739 584 591]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[729 745 847 618],[1490  801 1521  901]
[-1011.90870498   874.4877202    987.90870498   901.5122798 ],[728 748 851 616],[1413  547 1481  769]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[724 754 915 549],[1488  791 1522  900]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[715 765 809 665],[1420  564 1478  754]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[710 771 820 653],[1417  553 1479  756]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[708 774 872 598],[1415  545 1479  755]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[766 711 938 527],[1415  543 1454  668]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[704 780 815 661],[1420  556 1480  752]
[-1011.90891022   875.50291685   987.90891022   902.49708315],[704 781 826 650],[1422  559 1481  752]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[703 782 915 555],[1422  559 1481  751]
[-1012.89309856   874.37839113   986.89309856   903.62160887],[745 739 898 575],[1417  544 1451  652]
[-1012.89333862   875.3948164    986.89333862   904.6051836 ],[702 787 900 574],[1421  554 1484  760]
[-1012.89333862   875.3948164    986.89333862   904.6051836 ],[781 702 919 554],[1423  560 1484  759]
[-1013.8763012    874.27160875   985.8763012    905.72839125],[799 683 942 530],[1424  561 1483  755]
[-1013.8763012    874.27160875   985.8763012    905.72839125],[784 700 918 557],[1419  546 1457  668]
[-1013.87657866   875.2892569    985.87657866   906.7107431 ],[705 789 810 676],[1424  558 1492  779]
[-1013.87685518   876.3068655    985.87685518   907.6931345 ],[777 712 904 575],[1426  562 1495  787]
[-1013.87685518   876.3068655    985.87685518   907.6931345 ],[722 771 919 560],[1501  806 1532  906]
[-1013.87713078   877.32443468   985.87713078   908.67556532],[777 713 922 558],[1427  563 1475  720]
[-1013.87713078   877.32443468   985.87713078   908.67556532],[778 713 904 578],[1427  562 1475  719]
[-1013.87740545   878.34196457   985.87740545   909.65803543],[709 790 826 664],[1503  809 1535  911]
[-1013.8776792   879.3594553   985.8776792   910.6405447],[709 791 805 688],[1427  561 1497  790]
[-1013.87795203   880.376907     985.87795203   911.623093  ],[775 720 924 560],[1423  549 1490  766]
[-1013.87795203   880.376907     985.87795203   911.623093  ],[808 685 925 560],[1426  558 1493  777]
[-1014.86020985   880.2799296    984.86020985   913.7200704 ],[711 792 807 689],[1423  551 1490  768]
[-1014.86052095   881.29854364   984.86052095   914.70145636],[776 723 906 583],[1426  559 1462  676]
[-1014.86052095   881.29854364   984.86052095   914.70145636],[805 693 907 583],[1423  551 1462  676]
[-1014.86083101   882.31711628   984.86083101   915.68288372],[809 689 947 542],[1428  565 1493  777]
[-1014.86114004   883.33564767   984.86114004   916.66435233],[806 694 949 541],[1430  570 1496  786]
[-1014.86144804   884.35413793   984.86144804   917.64586207],[715 794 815 687],[1426  558 1496  784]
[-1014.86175502   885.37258722   984.86175502   918.62741278],[715 796 815 689],[1504  810 1538  919]
[-1014.86206097   886.39099566   984.86206097   919.60900434],[715 798 808 698],[1433  579 1496  786]
[-1014.86236592   887.4093634    984.86236592   920.5906366 ],[779 729 927 570],[1431  574 1496  786]
[-1014.86266985   888.42769055   984.86266985   921.57230945],[808 698 943 553],[1430  572 1495  784]
[-1014.86297278   889.44597727   984.86297278   922.55402273],[809 698 929 569],[1503  811 1537  921]
[-1014.8632747    890.46422368   984.8632747    923.53577632],[714 804 815 695],[1430  573 1495  785]
[-1013.88115608   892.58333019   985.88115608   923.41666981],[808 702 928 573],[1503  814 1537  923]
[-1013.88141738   893.6002862    985.88141738   924.3997138 ],[713 806 815 697],[1431  579 1496  790]
