0,1,2
[-1000.   338.  1000.   338.],[0 0 0 0],[0 0 0 0]
[-1000.   339.  1000.   339.],[0 0 0 0],[0 0 0 0]
[-1000.   340.  1000.   340.],[0 0 0 0],[0 0 0 0]
[-1000.   342.  1000.   342.],[0 0 0 0],[0 0 0 0]
[-1000.   343.  1000.   343.],[0 0 0 0],[0 0 0 0]
[-1000.   344.  1000.   344.],[0 0 0 0],[0 0 0 0]
[-1000.   346.  1000.   346.],[0 0 0 0],[0 0 0 0]
[-1000.   347.  1000.   347.],[0 0 0 0],[0 0 0 0]
[-1000.   348.  1000.   348.],[0 0 0 0],[0 0 0 0]
[-1000.   350.  1000.   350.],[0 0 0 0],[0 0 0 0]
[-1000.   351.  1000.   351.],[0 0 0 0],[0 0 0 0]
[-1000.   352.  1000.   352.],[0 0 0 0],[0 0 0 0]
[-1000.   353.  1000.   353.],[0 0 0 0],[0 0 0 0]
[-1000.   355.  1000.   355.],[0 0 0 0],[0 0 0 0]
[-1000.   356.  1000.   356.],[0 0 0 0],[0 0 0 0]
[-1000.   357.  1000.   357.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   358.  1000.   358.],[0 0 0 0],[0 0 0 0]
[-1000.   357.  1000.   357.],[0 0 0 0],[0 0 0 0]
[-1000.   356.  1000.   356.],[0 0 0 0],[0 0 0 0]
[-1000.   355.  1000.   355.],[0 0 0 0],[0 0 0 0]
[-1000.   354.  1000.   354.],[0 0 0 0],[0 0 0 0]
[-1000.   353.  1000.   353.],[0 0 0 0],[0 0 0 0]
[-1000.   352.  1000.   352.],[0 0 0 0],[0 0 0 0]
[-1000.   350.  1000.   350.],[0 0 0 0],[0 0 0 0]
[-1000.   349.  1000.   349.],[0 0 0 0],[0 0 0 0]
[-1000.   348.  1000.   348.],[0 0 0 0],[0 0 0 0]
[-1000.   346.  1000.   346.],[0 0 0 0],[0 0 0 0]
[-1000.   345.  1000.   345.],[0 0 0 0],[0 0 0 0]
[-1000.   344.  1000.   344.],[0 0 0 0],[0 0 0 0]
[-1000.   343.  1000.   343.],[0 0 0 0],[0 0 0 0]
[-1000.   341.  1000.   341.],[0 0 0 0],[0 0 0 0]
[-1000.   340.  1000.   340.],[0 0 0 0],[0 0 0 0]
[-1000.   339.  1000.   339.],[0 0 0 0],[0 0 0 0]
[-1000.   338.  1000.   338.],[0 0 0 0],[0 0 0 0]
[-1000.   336.  1000.   336.],[0 0 0 0],[0 0 0 0]
[-1000.   335.  1000.   335.],[0 0 0 0],[0 0 0 0]
[-1000.   334.  1000.   334.],[0 0 0 0],[0 0 0 0]
[-1000.   332.  1000.   332.],[0 0 0 0],[0 0 0 0]
[-1000.   331.  1000.   331.],[0 0 0 0],[0 0 0 0]
[-1000.   330.  1000.   330.],[0 0 0 0],[0 0 0 0]
[-1000.   329.  1000.   329.],[0 0 0 0],[0 0 0 0]
[-1000.   328.  1000.   328.],[0 0 0 0],[0 0 0 0]
[-1000.   327.  1000.   327.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
[-1000.   326.  1000.   326.],[0 0 0 0],[0 0 0 0]
