Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1013.87602281,873.2539209,985.87602281,904.7460791,48,1432,1432,-48,1454,776,776,-1454
1,-1013.87602281,873.2539209,985.87602281,904.7460791,47,1431,1431,-47,1455,776,776,-1455
2,-1013.87574348,872.23619323,985.87574348,903.76380677,46,1430,1430,-46,1455,776,776,-1455
3,-1013.87574348,872.23619323,985.87574348,903.76380677,46,1430,1430,-46,1455,776,776,-1455
4,-1013.87574348,872.23619323,985.87574348,903.76380677,45,1430,1430,-45,1455,776,776,-1455
5,-1013.87574348,872.23619323,985.87574348,903.76380677,45,1430,1430,-45,1455,776,776,-1455
6,-1013.87574348,872.23619323,985.87574348,903.76380677,45,1430,1430,-45,1455,776,776,-1455
7,-1013.87574348,872.23619323,985.87574348,903.76380677,45,1430,1430,-45,1455,776,776,-1455
8,-1013.87574348,872.23619323,985.87574348,903.76380677,46,1430,1430,-46,1455,776,776,-1455
9,-1013.87574348,872.23619323,985.87574348,903.76380677,46,1431,1431,-46,1455,776,776,-1455
10,-1013.87574348,872.23619323,985.87574348,903.76380677,46,1431,1431,-46,1455,776,776,-1455
11,-1013.87574348,872.23619323,985.87574348,903.76380677,47,1432,1432,-47,1455,776,776,-1455
12,-1013.87574348,872.23619323,985.87574348,903.76380677,48,1433,1433,-48,1455,776,776,-1455
13,-1013.87602281,873.2539209,985.87602281,904.7460791,48,1434,1434,-48,1454,776,776,-1454
14,-1013.87602281,873.2539209,985.87602281,904.7460791,49,1435,1435,-49,1454,776,776,-1454
15,-1013.87602281,873.2539209,985.87602281,904.7460791,49,1436,1436,-49,1454,776,776,-1454
16,-1013.87602281,873.2539209,985.87602281,904.7460791,49,1438,1438,-49,1454,776,776,-1454
17,-1013.87602281,873.2539209,985.87602281,904.7460791,49,1439,1439,-49,1455,776,776,-1455
18,-1013.87602281,873.2539209,985.87602281,904.7460791,50,1441,1441,-50,1455,775,775,-1455
19,-1013.87602281,873.2539209,985.87602281,904.7460791,50,1442,1442,-50,1455,774,774,-1455
20,-1013.87602281,873.2539209,985.87602281,904.7460791,50,1444,1444,-50,1455,774,774,-1455
21,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1445,1445,-50,1456,773,773,-1456
22,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1447,1447,-50,1457,774,774,-1457
23,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1448,1448,-50,1458,775,775,-1458
24,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1450,1450,-50,1459,777,777,-1459
25,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1451,1451,-50,1461,778,778,-1461
26,-1012.89309856,874.37839113,986.89309856,903.62160887,50,1452,1452,-50,1463,779,779,-1463
27,-1012.89309856,874.37839113,986.89309856,903.62160887,49,1454,1454,-49,1464,781,781,-1464
28,-1011.90891022,875.50291685,987.90891022,902.49708315,48,1455,1455,-48,1466,782,782,-1466
29,-1011.90891022,875.50291685,987.90891022,902.49708315,48,1456,1456,-48,1468,783,783,-1468
30,-1011.90891022,875.50291685,987.90891022,902.49708315,48,1457,1457,-48,1470,784,784,-1470
31,-1011.90891022,875.50291685,987.90891022,902.49708315,49,1457,1457,-49,1471,786,786,-1471
32,-1011.90891022,875.50291685,987.90891022,902.49708315,51,1458,1458,-51,1473,787,787,-1473
33,-1011.90891022,875.50291685,987.90891022,902.49708315,52,1459,1459,-52,1475,787,787,-1475
34,-1011.90891022,875.50291685,987.90891022,902.49708315,54,1460,1460,-54,1476,788,788,-1476
35,-1011.90891022,875.50291685,987.90891022,902.49708315,55,1461,1461,-55,1477,789,789,-1477
36,-1011.90891022,875.50291685,987.90891022,902.49708315,56,1462,1462,-56,1479,790,790,-1479
37,-1011.90891022,875.50291685,987.90891022,902.49708315,56,1463,1463,-56,1480,790,790,-1480
38,-1011.90870498,874.4877202,987.90870498,901.5122798,56,1464,1464,-56,1481,790,790,-1481
39,-1011.90870498,874.4877202,987.90870498,901.5122798,56,1465,1465,-56,1482,790,790,-1482
40,-1011.90870498,874.4877202,987.90870498,901.5122798,55,1466,1466,-55,1483,790,790,-1483
41,-1011.90870498,874.4877202,987.90870498,901.5122798,56,1468,1468,-56,1484,790,790,-1484
42,-1011.90870498,874.4877202,987.90870498,901.5122798,56,1469,1469,-56,1485,789,789,-1485
43,-1011.90870498,874.4877202,987.90870498,901.5122798,55,1470,1470,-55,1485,789,789,-1485
44,-1011.90870498,874.4877202,987.90870498,901.5122798,55,1471,1471,-55,1486,789,789,-1486
45,-1011.90870498,874.4877202,987.90870498,901.5122798,54,1472,1472,-54,1487,789,789,-1487
46,-1011.90891022,875.50291685,987.90891022,902.49708315,54,1473,1473,-54,1488,791,791,-1488
