frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,871.0,754.0,90.0
43,879.0,751.0,90.0
44,898.0,752.0,91.0
45,904.0,749.0,89.0
46,919.0,749.0,89.0
47,923.0,755.0,87.0
48,924.0,757.0,87.0
49,949.0,743.0,84.0
50,956.0,739.0,85.0
51,966.0,734.0,86.0
52,976.0,731.0,84.0
53,982.0,728.0,82.0
54,1003.0,722.0,87.0
55,1004.0,723.0,78.0
56,1013.0,715.0,82.0
57,1021.0,712.0,80.0
58,1027.0,707.0,80.0
59,1038.0,701.0,79.0
60,1049.0,697.0,83.0
61,1057.0,696.0,77.0
62,1061.0,694.0,76.0
63,1063.0,690.0,79.0
64,1077.0,687.0,75.0
65,1084.0,684.0,75.0
66,1089.0,681.0,74.0
67,1101.0,674.0,76.0
68,1097.0,677.0,74.0
69,1104.0,671.0,77.0
70,1118.0,670.0,71.0
71,1126.0,666.0,71.0
72,1130.0,663.0,71.0
73,1135.0,660.0,70.0
74,1142.0,655.0,70.0
75,1146.0,655.0,69.0
76,1151.0,657.0,67.0
77,1155.0,649.0,71.0
78,1165.0,649.0,66.0
79,1170.0,648.0,68.0
80,1173.0,645.0,68.0
81,1176.0,643.0,67.0
82,1184.0,637.0,67.0
83,1186.0,641.0,63.0
84,1192.0,634.0,66.0
85,1194.0,632.0,65.0
86,1197.0,629.0,65.0
87,1203.0,629.0,64.0
88,1204.0,626.0,64.0
89,1199.0,622.0,68.0
90,1207.0,621.0,63.0
91,1210.0,619.0,62.0
92,1212.0,615.0,60.0
93,1213.0,612.0,58.0
94,1214.0,613.0,60.0
95,1216.0,615.0,62.0
96,1217.0,613.0,60.0
97,1224.0,608.0,59.0
98,1227.0,605.0,58.0
99,1228.0,608.0,61.0
100,1225.0,606.0,63.0
101,1241.0,601.0,63.0
102,1235.0,599.0,58.0
103,1240.0,598.0,58.0
104,1241.0,598.0,59.0
105,1210.0,543.0,59.0
106,1246.0,589.0,55.0
107,1246.0,595.0,61.0
108,1203.0,553.0,53.0
109,1204.0,543.0,55.0
110,1268.0,584.0,61.0
111,1208.0,542.0,60.0
112,1245.0,579.0,60.0
113,1206.0,544.0,58.0
114,1268.0,567.0,55.0
115,1270.0,565.0,55.0
116,1277.0,560.0,58.0
117,1272.0,556.0,52.0
118,1269.0,551.0,57.0
119,1277.0,546.0,51.0
120,1283.0,546.0,48.0
121,1281.0,537.0,49.0
122,1283.0,536.0,51.0
123,1282.0,532.0,53.0
