rho,theta
1040.2563372822783,1.5824916999605856
1034.382918542232,1.5920697128189578
1043.4104710610354,1.5796456533111543
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1039.5078504631697,1.5824916999605856
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1042.1804307296177,1.5796456533111543
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1034.69704010588,1.5871883011029018
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
1047.0,1.5707963267948966
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
