rho,theta
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
990.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
980.0,1.5707963267948966
