Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1015.88053204,1019.54290965,983.88053204,1050.45709035,-28,1676,1676,28,961,2047,2047,-961
1,-1015.88030089,1018.5279644,983.88030089,1049.4720356,-32,1676,1676,32,956,2050,2050,-956
2,-1015.87983658,1016.49798703,983.87983658,1047.50201297,-29,1675,1675,29,955,2047,2047,-955
3,-1015.87960341,1015.48295475,983.87960341,1046.51704525,-27,1669,1669,27,953,2043,2043,-953
4,-1015.87913502,1013.45280257,983.87913502,1044.54719743,-25,1665,1665,25,950,2037,2037,-950
5,-1015.8788998,1012.43768249,983.8788998,1043.56231751,-24,1664,1664,24,948,2031,2031,-948
6,-1015.8784273,1010.40735396,983.8784273,1041.59264604,-28,1651,1651,28,945,2025,2025,-945
7,-1015.87819002,1009.39214533,983.87819002,1040.60785467,-16,1648,1648,16,942,2019,2019,-942
8,-1014.89251912,1008.33881937,984.89251912,1037.66118063,-25,1641,1641,25,940,2014,2014,-940
9,-1014.89230871,1007.32447688,984.89230871,1036.67552312,-24,1636,1636,24,937,2008,2008,-937
10,-1014.89188605,1005.29570756,984.89188605,1034.70429244,-26,1629,1629,26,911,2014,2014,-911
11,-1014.89167378,1004.28128056,984.89167378,1033.71871944,-25,1627,1627,25,919,2004,2004,-919
12,-1014.89146089,1003.26682523,984.89146089,1032.73317477,-29,1619,1619,29,926,1994,1994,-926
13,-1014.89103322,1001.23782923,984.89103322,1030.76217077,-23,1614,1614,23,915,1994,1994,-915
14,-1014.89081844,1000.2232884,984.89081844,1029.7767116,-25,1606,1606,25,889,1998,1998,-889
15,-1014.89038696,998.19412063,984.89038696,1027.80587937,-25,1600,1600,25,928,1960,1960,-928
16,-1014.88995292,996.16483749,984.88995292,1025.83516251,-25,1595,1595,25,897,1980,1980,-897
17,-1014.88973493,995.15015245,984.88973493,1024.84984755,-26,1590,1590,26,891,1970,1970,-891
18,-1014.88929701,993.12069498,984.88929701,1022.87930502,-22,1586,1586,22,888,1962,1962,-888
19,-1014.88885648,991.09112043,984.88885648,1020.90887957,-26,1581,1581,26,902,1955,1955,-902
20,-1014.88841331,989.06142809,984.88841331,1018.93857191,-24,1574,1574,24,892,1953,1953,-892
21,-1014.88819073,988.04653753,984.88819073,1017.95346247,-12,1564,1564,12,882,1951,1951,-882
22,-1015.87228009,985.01802549,983.87228009,1016.98197451,0,1555,1555,0,891,1945,1945,-891
23,-1015.87176828,982.98603775,983.87176828,1015.01396225,0,1551,1551,0,895,1937,1937,-895
24,-1016.85495183,980.96840262,982.85495183,1015.03159738,-20,1550,1550,20,900,1929,1929,-900
25,-1016.85436885,978.93421258,982.85436885,1013.06578742,-23,1552,1552,23,900,1923,1923,-900
26,-1016.85378234,976.89988501,982.85378234,1011.10011499,-24,1545,1545,24,861,1932,1932,-861
27,-1017.8354172,973.85782509,981.8354172,1010.14217491,-44,1536,1536,44,877,1922,1922,-877
28,-1017.83475171,971.82118633,981.83475171,1008.17881367,-36,1533,1533,36,888,1910,1910,-888
29,-1018.81551357,969.79221966,980.81551357,1008.20778034,-27,1530,1530,27,894,1902,1902,-894
30,-1018.81476535,967.75331252,980.81476535,1006.24668748,-22,1521,1521,22,852,1912,1912,-852
31,-1019.79392597,964.69961572,979.79392597,1005.30038428,-22,1518,1518,22,889,1892,1892,-889
32,-1019.79350703,963.67899376,979.79350703,1004.32100624,0,1518,1518,0,877,1886,1886,-877
33,-1019.79266533,961.63762392,979.79266533,1002.36237608,0,1521,1521,0,878,1880,1880,-878
34,-1020.7704872,958.5763467,978.7704872,1001.4236533,-21,1506,1506,21,880,1874,1874,-880
35,-1020.76954786,956.53255572,978.76954786,999.46744428,-25,1502,1502,25,879,1878,1878,-879
36,-1021.74656819,954.48779478,977.74656819,999.51220522,-25,1499,1499,25,847,1886,1886,-847
37,-1021.7455278,952.44163937,977.7455278,997.55836063,-13,1495,1495,13,850,1880,1880,-850
38,-1022.72073402,949.36836908,976.72073402,996.63163092,0,1490,1490,0,874,1858,1858,-874
39,-1022.71958289,947.31972152,976.71958289,994.68027848,-14,1487,1487,14,856,1868,1868,-856
40,-1022.71900465,946.29532257,976.71900465,993.70467743,-24,1484,1484,24,839,1878,1878,-839
41,-1023.69278557,943.21422846,975.69278557,992.78577154,-19,1481,1481,19,855,1858,1858,-855
42,-1023.69151274,941.16294378,975.69151274,990.83705622,-26,1473,1473,26,842,1864,1864,-842
43,-1023.69087335,940.1372218,975.69087335,989.8627782,-19,1469,1469,19,854,1848,1848,-854
44,-1024.66389346,938.0751065,974.66389346,989.9248935,-26,1466,1466,26,859,1842,1842,-859
45,-1024.66249519,936.02124493,974.66249519,987.97875507,-23,1462,1462,23,875,1826,1826,-875
46,-1024.66179278,934.99423016,974.66179278,987.00576984,0,1467,1467,0,846,1845,1845,-846
47,-1024.66108817,933.96715916,974.66108817,986.03284084,-24,1454,1454,24,850,1835,1835,-850
48,-1024.66038136,932.94003177,974.66038136,985.05996823,-21,1452,1452,21,837,1842,1842,-837
49,-1024.65967233,931.9128478,974.65967233,984.0871522,-22,1451,1451,22,850,1826,1826,-850
50,-1023.68568593,931.92951258,975.68568593,982.07048742,-18,1444,1444,18,852,1819,1819,-852
51,-1023.68502834,930.90330473,975.68502834,981.09669527,-20,1441,1441,20,819,1837,1837,-819
52,-1023.68436868,929.87704204,975.68436868,980.12295796,-21,1438,1438,21,817,1835,1835,-817
53,-1023.68370695,928.85072435,975.68370695,979.14927565,0,1661,1661,0,828,1823,1823,-828
54,-1023.68370695,928.85072435,975.68370695,979.14927565,-23,1429,1429,23,822,1821,1821,-822
55,-1022.70889464,928.87271293,976.70889464,977.12728707,-26,1427,1427,26,839,1805,1805,-839
56,-1022.70889464,928.87271293,976.70889464,977.12728707,-26,1424,1424,26,832,1806,1806,-832
57,-1021.73364796,929.92115398,977.73364796,976.07884602,-20,1422,1422,20,828,1805,1805,-828
58,-1021.73364796,929.92115398,977.73364796,976.07884602,-24,1417,1417,24,828,1800,1800,-828
59,-1021.73364796,929.92115398,977.73364796,976.07884602,-21,1415,1415,21,820,1804,1804,-820
60,-1020.7578112,931.99275258,978.7578112,976.00724742,-14,1414,1414,14,814,1802,1802,-814
61,-1020.7578112,931.99275258,978.7578112,976.00724742,-25,1412,1412,25,809,1804,1804,-809
62,-1019.78077987,934.06218262,979.78077987,975.93781738,-19,1411,1411,19,810,1800,1800,-810
63,-1019.7812381,935.08407452,979.7812381,976.91592548,-13,1411,1411,13,822,1790,1790,-822
64,-1018.80297335,937.1502022,980.80297335,976.8497978,-25,1405,1405,25,819,1786,1786,-819
65,-1018.80379406,939.19158281,980.80379406,978.80841719,-18,1405,1405,18,814,1786,1786,-814
66,-1017.82426508,941.25329503,981.82426508,978.74670497,-21,1401,1401,21,813,1784,1784,-813
67,-1017.82499484,943.29225581,981.82499484,980.70774419,-20,1400,1400,20,812,1783,1783,-812
68,-1016.84421925,945.34958284,982.84421925,980.65041716,-20,1400,1400,20,810,1782,1782,-810
69,-1016.84486416,947.38615265,982.84486416,982.61384735,-21,1400,1400,21,809,1781,1781,-809
70,-1016.84550507,949.42257127,982.84550507,984.57742873,-21,1398,1398,21,810,1776,1776,-810
71,-1015.86398779,953.50739814,983.86398779,986.49260186,-24,1400,1400,24,813,1772,1772,-813
72,-1015.86454682,955.54132433,983.86454682,988.45867567,-27,1401,1401,27,816,1769,1769,-816
73,-1015.86537893,958.59195276,983.86537893,991.40804724,-14,1404,1404,14,819,1765,1765,-819
74,-1015.86592942,960.62553237,983.86592942,993.37446763,-25,1401,1401,25,819,1763,1763,-819
75,-1015.86674884,963.67564492,983.86674884,996.32435508,-21,1404,1404,21,819,1761,1761,-819
76,-1015.86756077,966.72545171,983.86756077,999.27454829,-17,1406,1406,17,819,1761,1761,-819
77,-1014.88430268,970.78877836,984.88430268,1001.21122164,-20,1407,1407,20,819,1759,1759,-819
78,-1014.88500339,973.83490895,984.88500339,1004.16509105,-22,1408,1408,22,819,1758,1758,-819
79,-1015.86995253,975.87306528,983.86995253,1008.12693472,-18,1409,1409,18,820,1757,1757,-820
80,-1015.8707354,978.92167662,983.8707354,1011.07832338,-18,1409,1409,18,821,1755,1755,-821
81,-1015.87176828,982.98603775,983.87176828,1015.01396225,-19,1412,1412,19,817,1757,1757,-817
