rho,theta
889.8064150487495,1.5840923803533764
890.8500573839835,1.5838945443695789
891.8937345046662,1.5836971713858985
892.9374462888253,1.5835002597942038
893.4107241529013,1.5827303670647683
893.699892459099,1.5819798964709684
893.9344200285549,1.5813339385827112
893.4548708466175,1.5815790804271799
892.9202869758162,1.5819286671943389
892.5704459366958,1.582259977138997
892.4053312959803,1.5825727830517398
892.0653412941411,1.582784474358306
891.5504185980911,1.5828950599742742
891.038674661018,1.5828004906550937
890.475135893421,1.582604923260159
889.9126238368707,1.5825047594667137
889.5810758127367,1.5824971549797755
889.4804899453296,1.5825822192258248
889.4327421220776,1.5828640151819808
889.4379802570182,1.5833425242462948
889.4564529769374,1.5837654094547615
889.4880975169376,1.5841326555151827
889.5328593601739,1.5844442521330524
889.5906922444451,1.5847001939780978
889.6615581669278,1.584900480654882
889.7324597722782,1.585100735418537
889.7898414515308,1.5853101442802373
889.6858292422344,1.585663481780509
889.567712319471,1.5859768613100318
889.4354572285719,1.5862502819060433
889.2890347834523,1.586483738814466
889.9970252217978,1.5865699782476181
891.4745732620225,1.5863407571260497
893.5746888049003,1.5859814762666593
896.5094850166582,1.5852188464863195
899.4447992392667,1.5844611939118007
901.9934095007616,1.5845308253678672
904.1254403756994,1.584825116746637
905.8410709038816,1.5853428876702609
907.2619964799046,1.5860509842923096
908.8722938824328,1.5867933200716013
910.2019479769795,1.5868493767369103
911.5142453698596,1.5868460916727827
912.8091865857551,1.586783720629225
913.7537947638842,1.5869649893336675
914.9299428217338,1.5872778834985342
916.3377437255141,1.5877216590662646
917.9773572434069,1.5882953778792808
919.5757056631288,1.5888285572711502
921.1327309748284,1.5893214801305025
922.4165689359679,1.589644148292539
923.4270684223819,1.589797558345087
924.1641577157621,1.5897824016350957
924.9012472211083,1.5897672690830351
925.6383369379141,1.5897521606312015
926.3754268656747,1.589737076222074
927.1125170038872,1.589722015798315
927.8496073520498,1.5897069793027685
928.5866979096626,1.5896919666784608
929.1701280657916,1.5893208278862272
929.6002660146173,1.5885940496507118
929.1492093335651,1.5875357479242878
928.2781760418651,1.5866578904684014
926.9867236683742,1.5859597915221226
923.337743020494,1.5857658158499741
919.6937888279499,1.5859331724459989
916.783676636952,1.5864426967850835
914.0694535122536,1.5854228295834298
911.798786326265,1.58413001349148
911.7232589427524,1.5826928073789885
910.8160976846826,1.581264937855637
909.5773931072903,1.5799243180156002
908.743265128882,1.579860174901845
907.4066854010443,1.5799605145999136
905.9933850560152,1.5807029693617511
904.6645471415646,1.5817201915144974
902.6842142398232,1.5833123114196104
900.373060330382,1.5849937046557634
898.9126518316981,1.5864466892528097
898.2481593222702,1.587242652381457
898.4543963348397,1.5877634225959483
899.7657249325423,1.5876252596025364
901.1993010675596,1.5875008685946363
902.2400576162139,1.5875440611659748
902.8512146860714,1.58761074980845
903.5558658837651,1.58773506127406
904.3540306186733,1.5879168223103062
905.2457372321095,1.5881558246233225
906.0150663895553,1.5883693813973983
906.6620034756953,1.5885576438960785
907.0929941654342,1.5886633620080044
907.3080147551931,1.5886867288536728
908.0794336794663,1.588624426924667
909.3571210843295,1.58841462866579
911.1411611784571,1.588058304321552
913.4316964509692,1.5875569050657836
915.7226341283124,1.5870696881632684
917.5658289063729,1.5865926117967524
918.4644163799633,1.5871337127731442
919.9629740860341,1.5872436208818752
920.7174173037708,1.5879508504534672
921.7099303764664,1.5882161076493595
922.6724810657511,1.5887576112712485
924.0719981257945,1.5884418630497088
924.3661997269461,1.5887119814938269
924.7732662826744,1.5885193830156497
924.8181167359221,1.5887430066956894
924.4440647433934,1.5886735618895025
924.0700172126802,1.588604060862872
923.6959741492033,1.5885345035481708
923.4466145913636,1.5884881007004414
923.3219355583916,1.5884648898776643
923.3219355583916,1.5884648898776643
923.3219355583916,1.5884648898776643
923.3219355583916,1.5884648898776643
923.3219355583916,1.5884648898776643
923.3219355583913,1.5884648898776643
923.3219355583913,1.5884648898776643
