0,1,2
[-1011.74217395   876.43210217   988.08104362   903.02342578],[430 663 495 621],[1366  558 1390  636]
[-1011.58243381   877.67579684   988.24600534   903.87148294],[193 301 194 393],[1440  803 1463  878]
[-1011.42264856   878.91902906   988.41092196   904.72000254],[193 303 194 395],[1381  605 1417  722]
[-1011.26281849   880.16180042   988.57579377   905.568983  ],[381 695 508 615],[1419  726 1434  777]
[-1010.59053667   881.41334755   989.26704371   905.28086154],[176 675 197 736],[748 121 807 191]
[-1009.93201121   882.46066797   989.94291786   904.82734107],[773 721 787 657],[1447  805 1479  908]
[-1009.36423943   883.34737191   990.52472033   904.42220546],[758 674 852 573],[1449  804 1473  883]
[-1009.57558374   882.62038666   990.30814961   904.18547603],[796 633 874 549],[1387  592 1427  725]
[-1009.87812341   881.73284772   989.99794887   903.99706865],[751 756 784 650],[1408  646 1427  710]
[-1010.16618447   881.04839862   989.70240169   903.97519714],[805 631 860 572],[1432  719 1449  777]
[-1010.43978777   880.56726637   989.42152891   904.11963449],[803 638 883 552],[1461  803 1485  881]
[-1010.62209781   880.01337975   989.23418822   903.98910059],[216 380 216 301],[1394  572 1435  707]
[-1010.7131787    879.3867291    989.14044374   903.58360513],[817 628 866 576],[1435  696 1452  754]
[-1010.62386826   878.97060056   989.23203352   902.97835168],[770 680 892 549],[1421  639 1447  725]
[-1010.4452965    878.60472935   989.41526217   902.2213734 ],[812 637 885 559],[1401  567 1423  638]
[-1010.35070106   878.14346147   989.51221311   901.55979179],[826 624 895 550],[1402  564 1426  641]
[-1010.34014391   877.81961932   989.52294828   901.22074171],[775 681 882 566],[1427  634 1455  726]
[-1010.41362585   877.63309344   989.4474685    901.20433259],[727 736 782 677],[1480  802 1502  875]
[-1010.66032299   877.30058377   989.19404967   901.43537475],[596 879 653 817],[1482  800 1513  899]
[-1011.08006927   876.82211095   988.76252573   901.91384757],[584 893 642 831],[1451  691 1473  765]
[-1011.45101352   876.41293292   988.38079173   902.35037113],[588 892 656 816],[1413  562 1476  769]
[-1011.77322651   876.07306416   988.04891846   902.74493095],[594 887 654 820],[1411  552 1477  768]
[-1012.04676968   875.80251419   987.76696735   903.09751749],[536 889 599 839],[1430  607 1465  722]
[-1012.27169512   875.60128768   987.53499048   903.40812611],[768 705 818 652],[1418  562 1468  726]
[-1012.44804555   875.46938446   987.35303059   903.67675696],[735 743 820 652],[1492  800 1517  882]
[-1012.62435634   875.33751372   987.17103104   903.94535534],[847 624 916 550],[1494  802 1514  868]
[-1012.80847036   875.18281765   986.98088244   904.20943351],[705 779 767 712],[1495  799 1518  876]
[-1013.11609573   874.7208991    986.66287604   904.45411371],[766 715 900 571],[1462  688 1481  752]
[-1013.3883726    874.28526299   986.3811832    904.64516592],[832 647 908 565],[1497  800 1520  878]
[-1013.62533853   873.87590976   986.13584149   904.78258974],[770 715 903 572],[1425  564 1483  753]
[-1013.82702638   873.49284369   985.92688377   904.86638088],[772 716 827 657],[1426  563 1476  727]
[-1013.91351927   874.11331093   985.83767781   905.65930565],[773 717 833 652],[1425  559 1486  758]
[-1013.73609412   875.8230679    986.02228143   906.91067658],[774 718 828 660],[1430  571 1476  722]
[-1013.45325157   878.28710075   986.31616409   908.65623253],[717 782 775 720],[1430  569 1479  730]
[-1012.82547471   881.99422588   986.96651982   910.83826527],[710 792 765 733],[1427  561 1488  760]
[-1012.19704831   885.69638266   987.616226     913.02526637],[805 691 914 574],[1430  570 1479  731]
[-1012.29372097   888.17426965   987.51764554   915.64240319],[744 761 807 694],[1475  717 1493  778]
[-1012.58496799   890.00814296   987.21822829   918.06480255],[824 676 884 612],[1065  130 1069  187]
[-1013.07060823   891.19918564   986.71779307   920.29128137],[768 742 817 688],[1522  869 1537  919]
[-1013.72308422   891.90237065   986.04421572   922.41050238],[715 799 769 742],[1451  639 1493  776]
[-1014.41065471   892.75969342   985.33344696   924.75231543],[810 699 917 584],[1430  573 1494  783]
[-1014.48204233   894.03231032   985.26026279   926.13703126],[713 806 767 748],[1431  579 1491  775]
[-1014.50016653   895.34777133   985.24224404   927.44592299],[823 688 910 595],[1424  559 1491  778]
[-1014.46502264   896.70582075   985.27938604   928.67924632],[709 814 767 752],[1455  662 1491  780]
[-1014.64282306   897.46639996   985.09575699   929.80231609],[718 806 798 721],[1429  581 1491  784]
[-1014.94296926   898.32486853   984.78539518   931.2864896 ],[814 701 928 579],[1427  579 1488  778]
[-1015.36535029   899.28197246   984.34818967   933.13102085],[821 695 907 602],[1422  573 1490  795]
[-1015.90980836   900.33865278   983.78398266   935.3349688 ],[846 666 900 608],[1449  670 1485  789]
[-1016.41852618   901.39495122   983.2563213    937.45745774],[801 712 895 611],[1449  687 1481  793]
[-1016.89156334   902.45058396   982.76526517   939.4987715 ],[800 711 901 602],[1416  595 1466  756]
[-1017.20689859   903.40602838   982.43787156   941.09943958],[807 701 870 633],[1412  598 1431  660]
[-1017.36467776   904.26028506   982.2742863    942.26046143],[695 819 771 738],[1481  840 1497  890]
[-1017.36496562   905.01266131   982.27457417   942.98252972],[693 820 753 756],[1426  669 1461  782]
[-1017.3652528    905.7650134    982.27486134   943.70462216],[848 651 910 583],[1477  843 1509  946]
[-1017.36553929   906.51734141   982.27514783   944.42673869],[784 720 875 622],[1417  656 1464  809]
[-1017.3658251    907.26964538   982.27543364   945.14887926],[826 673 876 619],[1401  611 1462  811]
[-1017.36611022   908.02192537   982.27571876   945.87104381],[681 829 745 760],[785 187 832 241]
[-1017.36639467   908.77418145   982.27600321   946.59323227],[681 828 743 761],[1438  742 1461  820]
[-1017.36667844   909.52641366   982.27628698   947.3154446 ],[682 825 766 735],[1404  639 1459  819]
[-1017.03985498   910.4872653    982.61699769   947.53414858],[774 725 867 625],[1435  742 1459  823]
[-1016.38551918   911.65625703   983.29773025   947.24982358],[777 718 869 619],[780 188 826 241]
[-1015.41259271   912.28039536   984.30720561   945.75767414],[803 687 849 637],[1461  832 1490  925]
[-1014.59753404   912.30050753   985.15088203   944.02230469],[810 675 865 616],[1436  748 1482  899]
[-1013.9408287    911.71727073   985.82924504   942.04303802],[778 707 827 654],[1415  677 1456  812]
[-1013.70933732   908.26536162   986.06658126   938.20322159],[768 714 851 625],[1421  695 1458  817]
[-1013.80617146   904.45216121   985.96470882   934.72469646],[825 649 871 599],[770 164 822 226]
[-1014.22134939   901.02572892   985.53384671   932.31719213],[841 625 890 571],[767 159 820 221]
[-1013.26219733   899.34569845   986.5238719    928.597661  ],[767 702 860 602],[1459  815 1493  925]
[-1012.06838682   898.38444284   987.75382861   925.05102606],[767 698 863 595],[762 145 820 212]
[-1010.77527992   899.76254334   989.0831955    923.55494329],[768 694 863 592],[770 152 820 209]
[-1009.48000991   900.2977693    990.41039928   921.23460899],[767 694 861 593],[1459  808 1495  923]
[-1008.26083934   900.41163581   991.65584101   918.66736474],[767 693 864 589],[771 149 822 208]
[-1008.19552175   899.64221323   991.72232547   917.76966124],[768 694 863 592],[754 127 814 198]
[-1008.27353801   898.20452307   991.64248024   916.53264213],[781 679 868 585],[757 129 822 206]
[-1008.92613544   896.04244709   990.97572379   915.85540814],[773 687 868 585],[754 124 823 207]
[-1009.82257177   893.68692304   990.0580986    915.53421796],[770 690 832 623],[757 126 824 206]
[-1011.21936286   890.09785462   988.62398931   915.12917034],[786 674 890 562],[761 130 825 206]
[-1012.68172605   886.08541885   987.1167118    914.47922068],[806 654 878 577],[770 142 825 205]
[-1013.9452701    883.15284343   985.80980105   914.45229059],[708 763 775 689],[780 152 827 208]
[-1014.63697796   881.68109806   985.09254651   914.57226644],[766 699 871 586],[1393  565 1463  794]
[-1015.09949269   881.35879314   984.61263188   915.29135659],[716 755 771 696],[1028  152 1028   98]
[-1014.99977905   882.81017682   984.71701465   916.46645373],[720 751 772 695],[1392  560 1462  787]
[-1014.91390367   884.36980296   984.8070611    917.77733282],[771 697 875 585],[1435  698 1465  798]
[-1014.96953043   885.36657598   984.74998952   918.86047891],[218 426 218 318],[1393  561 1463  787]
[-1015.03884783   885.90995775   984.678434     919.53721918],[833 631 920 538],[1413  624 1466  797]
[-1015.16090409   886.48832005   984.55218205   920.36416901],[827 684 855 611],[1426  665 1465  792]
[-1015.33568066   887.10183647   984.37121513   921.34115479],[734 742 786 686],[1392  556 1439  707]
[-1015.56314985   887.75071582   984.13550555   922.46796773],[742 733 815 655],[1417  634 1466  793]
[-1015.76623064   888.30302556   983.92496506   923.44732587],[744 732 797 675],[1417  635 1465  791]
[-1015.94493663   888.75861418   983.73960727   924.27938072],[724 755 778 697],[1424  658 1466  794]
[-1016.04658896   889.08212733   983.63418859   924.81429655],[722 761 779 697],[932 743 956 807]
[-1016.07121032   889.27337146   983.60873173   925.05226691],[793 684 855 617],[899 629 931 708]
[-1016.02955711   890.10796927   983.65261016   925.76228072],[794 685 888 584],[913 639 951 743]
[-1015.86530117   891.59860002   983.8243023    926.83338085],[791 690 875 600],[1419  648 1468  808]
[-1015.57833293   893.74429525   984.1236986    928.26653577],[824 656 879 597],[930  83 970 156]
[-1015.16847146   896.54360666   984.55061813   930.06319378],[811 673 904 570],[945  85 982 165]
[-1014.7688194    899.3287418    984.96636416   931.87402804],[812 674 862 618],[ 963  713 1003  844]
[-1014.36876986   901.65572648   985.3817127    933.24698266],[813 674 899 579],[959 661 983 756]
[-1014.87118805   902.00518614   984.8619077    934.67850457],[852 633 898 583],[955 602 966 654]
[-1014.99496572   903.39199314   984.7345269    936.28509826],[804 689 909 572],[ 981  714 1003  809]
[-1015.64655884   903.42826503   984.0591707    937.73562964],[225 419 225 340],[969 598 981 675]
[-1015.90345244   904.15118818   983.79310647   938.98898791],[817 752 845 664],[1009  864 1017  914]
[-1016.41019233   904.56333567   983.2672086    940.48397318],[846 711 878 613],[ 997  772 1012  894]
[-1016.14922135   906.28351947   983.53942178   941.57276061],[224 475 224 412],[987 593 992 662]
[-1016.3992587    906.30316016   983.2797792    942.13255278],[863 737 912 579],[1003  753 1006  813]
[-1016.23190133   906.90590292   983.45400017   942.35015975],[844 812 867 747],[745 130 832 234]
[-1016.43548643   906.72346996   983.2424389    942.61490302],[885 726 932 581],[1010  813 1012  882]
[-1016.36583008   906.42006172   983.3145829    942.17262744],[885 741 919 645],[1009  755 1010  823]
[-1016.29616991   906.11670977   983.38672307   941.73029557],[874 788 925 648],[1012  657 1012  600]
[-1016.22650592   905.81341419   983.45885942   941.28790733],[867 814 924 665],[1013  889 1013  804]
[-1016.18006112   905.61124849   983.50694818   940.99295049],[610 909 692 821],[1015  842 1015  765]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[867 828 910 722],[1014  892 1015  839]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[852 870 911 729],[742 138 832 246]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[863 846 922 707],[742 139 832 247]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[873 825 919 722],[1021  801 1024  735]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[876 828 955 658],[742 141 832 248]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[899 804 932 722],[1023  842 1029  721]
[-1016.15683808   905.51017505   983.53099192   940.84546266],[612 917 690 834],[1025  840 1029  779]
