Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
59,-1008.88288189,572.69567018,990.88288189,603.30432982,133,812,812,-133,626,933,933,-626
60,-1008.88288189,572.69567018,990.88288189,603.30432982,133,812,812,-133,626,934,934,-626
61,-1008.88288189,572.69567018,990.88288189,603.30432982,133,812,812,-133,626,934,934,-626
62,-1008.88288189,572.69567018,990.88288189,603.30432982,133,812,812,-133,625,935,935,-625
63,-1008.88288189,572.69567018,990.88288189,603.30432982,134,812,812,-134,625,935,935,-625
64,-1008.88288189,572.69567018,990.88288189,603.30432982,135,812,812,-135,625,935,935,-625
65,-1008.88288189,572.69567018,990.88288189,603.30432982,135,812,812,-135,625,935,935,-625
66,-1008.88288189,572.69567018,990.88288189,603.30432982,136,812,812,-136,625,935,935,-625
67,-1008.88288189,572.69567018,990.88288189,603.30432982,136,812,812,-136,625,935,935,-625
68,-1008.88288189,572.69567018,990.88288189,603.30432982,137,812,812,-137,625,935,935,-625
69,-1008.88288189,572.69567018,990.88288189,603.30432982,138,812,812,-138,625,935,935,-625
70,-1008.88288189,572.69567018,990.88288189,603.30432982,138,812,812,-138,625,935,935,-625
71,-1008.88288189,572.69567018,990.88288189,603.30432982,138,812,812,-138,625,935,935,-625
72,-1008.88288189,572.69567018,990.88288189,603.30432982,138,811,811,-138,624,935,935,-624
73,-1008.88288189,572.69567018,990.88288189,603.30432982,138,811,811,-138,624,935,935,-624
74,-1008.88288189,572.69567018,990.88288189,603.30432982,138,811,811,-138,625,935,935,-625
75,-1008.88288189,572.69567018,990.88288189,603.30432982,138,811,811,-138,625,935,935,-625
76,-1008.88288189,572.69567018,990.88288189,603.30432982,137,811,811,-137,625,935,935,-625
77,-1008.88288189,572.69567018,990.88288189,603.30432982,137,810,810,-137,625,935,935,-625
78,-1008.88288189,572.69567018,990.88288189,603.30432982,137,810,810,-137,625,936,936,-625
79,-1008.88288189,572.69567018,990.88288189,603.30432982,136,810,810,-136,625,936,936,-625
80,-1008.88288189,572.69567018,990.88288189,603.30432982,136,810,810,-136,625,936,936,-625
81,-1007.90777274,575.41890971,991.90777274,602.58109029,135,810,810,-135,625,936,936,-625
82,-1007.90777274,575.41890971,991.90777274,602.58109029,135,810,810,-135,625,936,936,-625
83,-1007.90777274,575.41890971,991.90777274,602.58109029,134,810,810,-134,625,936,936,-625
84,-1007.90777274,575.41890971,991.90777274,602.58109029,133,810,810,-133,625,936,936,-625
85,-1007.90777274,575.41890971,991.90777274,602.58109029,133,810,810,-133,625,936,936,-625
86,-1007.90777274,575.41890971,991.90777274,602.58109029,132,811,811,-132,625,935,935,-625
87,-1007.90777274,575.41890971,991.90777274,602.58109029,132,811,811,-132,625,935,935,-625
88,-1007.90777274,575.41890971,991.90777274,602.58109029,131,811,811,-131,625,935,935,-625
89,-1007.90777274,575.41890971,991.90777274,602.58109029,130,812,812,-130,625,935,935,-625
90,-1007.90777274,575.41890971,991.90777274,602.58109029,130,813,813,-130,625,935,935,-625
91,-1007.90777274,575.41890971,991.90777274,602.58109029,129,813,813,-129,625,935,935,-625
92,-1007.90777274,575.41890971,991.90777274,602.58109029,129,814,814,-129,625,934,934,-625
93,-1007.90777274,575.41890971,991.90777274,602.58109029,128,814,814,-128,625,934,934,-625
94,-1007.90808507,576.44192427,991.90808507,603.55807573,128,815,815,-128,625,934,934,-625
95,-1007.90808507,576.44192427,991.90808507,603.55807573,128,815,815,-128,625,934,934,-625
96,-1007.90808507,576.44192427,991.90808507,603.55807573,128,815,815,-128,625,934,934,-625
97,-1007.90808507,576.44192427,991.90808507,603.55807573,129,815,815,-129,625,934,934,-625
98,-1007.90808507,576.44192427,991.90808507,603.55807573,130,815,815,-130,625,934,934,-625
99,-1007.90808507,576.44192427,991.90808507,603.55807573,131,814,814,-131,625,934,934,-625
100,-1007.90808507,576.44192427,991.90808507,603.55807573,132,813,813,-132,625,935,935,-625
101,-1007.90808507,576.44192427,991.90808507,603.55807573,134,813,813,-134,625,935,935,-625
102,-1007.90808507,576.44192427,991.90808507,603.55807573,135,812,812,-135,625,935,935,-625
103,-1007.90808507,576.44192427,991.90808507,603.55807573,136,811,811,-136,625,935,935,-625
104,-1007.90808507,576.44192427,991.90808507,603.55807573,137,811,811,-137,625,935,935,-625
105,-1007.90808507,576.44192427,991.90808507,603.55807573,138,810,810,-138,625,935,935,-625
106,-1007.90808507,576.44192427,991.90808507,603.55807573,139,810,810,-139,625,936,936,-625
107,-1007.90808507,576.44192427,991.90808507,603.55807573,140,810,810,-140,624,936,936,-624
108,-1007.90808507,576.44192427,991.90808507,603.55807573,141,809,809,-141,624,936,936,-624
109,-1007.90808507,576.44192427,991.90808507,603.55807573,142,809,809,-142,624,936,936,-624
110,-1006.92962536,578.13642817,992.92962536,601.86357183,143,808,808,-143,624,936,936,-624
111,-1006.92962536,578.13642817,992.92962536,601.86357183,143,808,808,-143,624,936,936,-624
112,-1006.92938621,577.11628913,992.92938621,600.88371087,143,809,809,-143,624,936,936,-624
113,-1006.92938621,577.11628913,992.92938621,600.88371087,143,809,809,-143,624,936,936,-624
114,-1006.92938621,577.11628913,992.92938621,600.88371087,142,809,809,-142,625,936,936,-625
115,-1007.90777274,575.41890971,991.90777274,602.58109029,142,809,809,-142,625,935,935,-625
116,-1007.90777274,575.41890971,991.90777274,602.58109029,141,810,810,-141,625,935,935,-625
117,-1007.90777274,575.41890971,991.90777274,602.58109029,141,810,810,-141,626,934,934,-626
118,-1006.92938621,577.11628913,992.92938621,600.88371087,140,810,810,-140,626,934,934,-626
119,-1006.92938621,577.11628913,992.92938621,600.88371087,140,811,811,-140,626,934,934,-626
120,-1006.92938621,577.11628913,992.92938621,600.88371087,139,811,811,-139,626,934,934,-626
121,-1006.92914585,576.0960816,992.92914585,599.9039184,139,811,811,-139,626,933,933,-626
122,-1006.92914585,576.0960816,992.92914585,599.9039184,139,811,811,-139,626,933,933,-626
123,-1006.92914585,576.0960816,992.92914585,599.9039184,139,811,811,-139,626,933,933,-626
124,-1006.92914585,576.0960816,992.92914585,599.9039184,138,811,811,-138,626,933,933,-626
125,-1006.92914585,576.0960816,992.92914585,599.9039184,138,811,811,-138,626,933,933,-626
126,-1006.92914585,576.0960816,992.92914585,599.9039184,139,811,811,-139,626,933,933,-626
127,-1006.92914585,576.0960816,992.92914585,599.9039184,139,810,810,-139,626,933,933,-626
128,-1006.92914585,576.0960816,992.92914585,599.9039184,139,809,809,-139,625,934,934,-625
129,-1006.92914585,576.0960816,992.92914585,599.9039184,140,808,808,-140,624,934,934,-624
130,-1006.92914585,576.0960816,992.92914585,599.9039184,140,807,807,-140,624,935,935,-624
