0,1,2
[-1011.70484653  1022.79064425   988.16564539  1045.55059932],[ 841  836 1021  662],[1448  700 1505  542]
[-1013.77742145  1019.87002586   986.04248774  1046.70900553],[908 772 987 696],[1448  700 1504  546]
[-1015.84578439  1016.94609415   983.91511812  1047.87072505],[ 832  844 1006  676],[1280 1011 1283  942]
[-1017.31240072  1014.50874931   982.40125036  1048.35123235],[826 844 951 723],[1454  668 1474  613]
[-1017.53336495  1013.06212854   982.17216798  1047.38095147],[846 820 977 693],[1271 1023 1275  936]
[-1017.33403766  1011.99733776   982.37750059  1045.96443637],[1090  582 1158  516],[1267 1010 1270  942]
[-1016.54745494  1011.60763151   983.18926736  1044.05823249],[ 831  821 1038  621],[1259 1026 1263  960]
[-1015.68523681  1011.06704346   984.0777584   1041.85605152],[885 765 935 716],[1444  641 1480  542]
[-1015.1264513   1010.279139     984.65267003  1040.00229338],[912 733 977 670],[1254  984 1257  929]
[-1015.05920302  1008.51569119   984.72110837  1038.15866983],[809 828 976 666],[1429  657 1489  492]
[-1015.40686408  1006.29343473   984.36226413  1036.68148887],[825 805 979 656],[1424  655 1447  594]
[-1015.30147826  1004.44273884   984.46994643  1034.67928942],[1048  587 1112  525],[1408  688 1441  599]
[-1015.61095043  1002.49028311   984.15029477  1033.39274609],[814 806 979 647],[1405  685 1477  488]
[-1015.17658961  1000.85595242   984.59693266  1030.95345471],[805 810 876 741],[1402  683 1435  594]
[-1015.07613971   999.52398645   984.69976101  1029.46303943],[797 810 954 658],[1395  682 1433  583]
[-1014.56069056   998.59890966   985.22978205  1027.54827321],[802 799 990 617],[1359  756 1379  700]
[-1014.27643273   997.87280547   985.52179435  1026.28144812],[804 792 965 636],[1392  666 1433  557]
[-1013.57669586   997.38052685   986.24051954  1024.41948016],[804 787 954 642],[1339  784 1365  715]
[-1012.68665308   996.79292671   987.15341341  1022.08538512],[1036  558 1106  490],[1333  783 1359  714]
[-1012.17975256   995.67576202   987.67243671  1019.99080013],[1035  555 1096  496],[1375  674 1403  598]
[-1012.0565383    994.02738097   987.79813344  1018.13737697],[814 762 946 634],[1205 1010 1208  945]
[-1012.50127822   991.57192547   987.34177966  1016.62674169],[464 643 500 715],[1312  812 1352  706]
[-1011.79471024   990.38930379   988.06515644  1014.06447298],[ 554 1001  615  940],[1380  630 1406  560]
[-1012.17840325   988.98364488   987.67183662  1013.458491  ],[560 991 620 931],[1197  988 1199  938]
[-1012.56194721   987.71010559   987.27836777  1012.98290912],[ 539 1006  616  931],[1361  663 1421  498]
[-1012.94534524   986.5688455    986.88475297  1012.63756779],[1000  560 1067  495],[1358  661 1421  487]
[-1012.94764289   985.17726969   986.88192127  1011.28692932],[ 999  554 1064  491],[1308  767 1331  707]
[-1014.10188599   981.9534468    985.69486721  1010.46565286],[720 815 808 732],[1349  659 1380  576]
[-1014.87442128   978.34227928   984.8979888   1008.51358844],[462 625 482 676],[1346  657 1411  479]
[-1015.26387761   975.22097804   984.49504425  1006.27342458],[1031  509 1087  455],[1345  652 1403  491]
[-1014.72252582   972.83740847   985.05198143  1002.86939409],[734 787 803 720],[1292  766 1320  693]
[-1014.17861365   971.33204768   985.61148759  1000.30705425],[747 771 815 705],[1338  649 1395  491]
[-1015.67020806   966.9820265    984.07154172   999.12131991],[798 720 863 655],[1292  751 1319  677]
[-1018.72129403   960.01359839   980.90605192   998.62029887],[ 978  543 1035  486],[1337  636 1387  498]
[-1021.76137269   953.02102465   977.7295548    998.14342346],[871 639 943 569],[1287  748 1313  676]
[-1024.40586129   947.09866141   974.94787951   997.93781136],[734 768 944 565],[1329  638 1383  489]
[-1027.04167816   941.15885962   972.15753248   997.74963781],[ 933  573 1023  486],[1276  759 1295  709]
[-1027.66446978   938.98242604   971.49424817   996.98605037],[780 716 836 661],[1276  752 1299  691]
[-1026.80235289   939.9646803    972.40881645   996.13139986],[755 735 810 680],[1288  709 1306  659]
[-1025.55589021   941.35391181   973.72799476   994.8697721 ],[819 670 870 620],[1858  192 1916  134]
[-1025.61760128   940.97125569   973.6623021    994.63565669],[ 972  520 1063  432],[1316  631 1342  563]
[-1026.10713034   938.4238111    973.14145443   993.2425695 ],[ 944  543 1021  468],[1267  744 1301  652]
[-1026.59597303   935.50999641   972.61992038   991.50831348],[ 968  514 1054  431],[1315  612 1352  514]
[-1026.67748668   933.29399933   972.53002749   989.59067117],[776 695 888 586],[1263  738 1295  651]
[-1027.14156347   930.47035932   972.03374194   987.89943087],[716 750 886 586],[1229  827 1249  772]
[-1027.22275395   928.07165283   971.94352587   985.81406032],[725 738 882 586],[1258  740 1277  686]
[-1026.60653735   927.60037945   972.59570777   984.08385603],[924 543 984 483],[1325  556 1348  494]
[-1025.93191416   927.55739799   973.30961432   982.63289876],[703 751 883 577],[1220  828 1242  768]
[-1025.66048739   926.54101338   973.59501958   981.10673359],[800 655 870 587],[1311  580 1341  500]
[-1025.61628496   924.97187183   973.6393008    979.53470566],[ 974  485 1039  422],[1248  735 1279  650]
[-1026.49545986   921.55654921   972.70323523   978.16553745],[760 686 840 608],[1248  726 1286  621]
[-1027.64368044   918.37951555   971.47938333   977.59924115],[790 654 935 513],[1286  619 1327  512]
[-1028.84814223   915.13407437   970.19164138   977.10135239],[ 949  497 1017  431],[1285  617 1323  518]
[-1029.99315021   912.52607695   968.96457687   977.08616783],[1554  107 1605   56],[1226  764 1253  692]
[-1030.95240229   910.36927814   967.93378665   977.10760055],[685 744 871 564],[1224  759 1258  669]
[-1031.03508378   909.76848734   967.84383174   976.72430189],[ 944  492 1026  413],[1236  720 1259  657]
[-1031.15907671   908.86709047   967.70887008   976.14956456],[702 723 840 590],[1227  738 1272  616]
[-1030.38945683   909.7374024    968.53471597   975.3281899 ],[726 697 834 592],[1231  721 1254  659]
[-1028.72360105   912.37754271   970.31874635   974.26205832],[683 734 833 589],[1221  738 1265  619]
[-1026.9891894    915.4538796    972.1690758    973.47310639],[663 751 828 591],[1278  584 1314  488]
[-1025.18569462   918.9639587    974.08517707   972.96378846],[691 723 742 673],[1213  748 1250  650]
