0,1,2
[-1044.97057251   967.63707173   952.97057251  1058.36292827],[740 782 799 723],[1289  990 1301  938]
[-1044.97057251   967.63707173   952.97057251  1058.36292827],[ 507 1013  569  951],[1305  923 1330  818]
[-1044.97057251   967.63707173   952.97057251  1058.36292827],[ 507 1013  569  951],[1285 1005 1298  952]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[ 507 1013  569  951],[1287  998 1301  937]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[ 507 1013  569  951],[1279 1032 1298  952]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[1008  509 1081  436],[1315  878 1330  816]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[733 789 784 738],[1315  878 1330  816]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[1008  509 1081  436],[1285 1005 1298  952]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[1048  468 1107  407],[1303  927 1323  844]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[1218  299 1273  243],[1315  878 1330  816]
[-1045.9254012    966.65301692   951.9254012   1059.34698308],[815 707 871 651],[1285 1005 1301  936]
[-1046.87926479   965.66909703   950.87926479  1060.33090297],[1207  309 1282  232],[1285 1004 1298  951]
[-1046.87926479   965.66909703   950.87926479  1060.33090297],[1045  477 1099  421],[1783  280 1833  335]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[748 797 801 744],[1289 1023 1302  967]
[-1045.92751627   967.69862597   951.92751627  1060.30137403],[922 604 994 532],[1406  528 1418  475]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[682 838 771 749],[1510   54 1511    3]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[914 604 979 539],[1405  488 1419  427]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[1008  509 1065  450],[1405  491 1427  394]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[685 836 781 740],[1429  388 1445  319]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[682 841 747 776],[1290  989 1304  931]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[ 955  566 1003  516],[1364  681 1382  608]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[688 833 758 763],[969  87 978 163]
[-1045.92962511   968.74414544   951.92962511  1061.25585456],[692 830 772 750],[1291  983 1304  929]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[539 981 595 925],[1280 1029 1304  929]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[537 983 595 925],[1368  664 1382  606]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[ 972  549 1085  432],[1280 1028 1306  920]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[1154  365 1229  288],[1367  667 1386  589]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[539 980 595 924],[1367  665 1387  584]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[ 489 1030  592  927],[1288  992 1304  927]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[ 507 1014  574  947],[1289  991 1318  868]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[536 984 591 929],[1269 1074 1289  989]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[684 837 770 751],[1270 1072 1283 1013]
[-1046.88147052   966.71567003   950.88147052  1061.28432997],[ 489 1030  592  927],[1364  681 1387  588]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[1011  505 1095  419],[1293  970 1313  886]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[ 989  528 1116  397],[1289  988 1317  866]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[697 823 769 751],[1292  975 1313  887]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[696 824 770 750],[1427  395 1444  324]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[1023  495 1114  400],[1412  462 1445  321]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[1050  467 1117  398],[1361  690 1386  589]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[1049  467 1114  400],[1289  989 1310  901]
[-1047.83675344   966.78029466   949.83675344  1063.21970534],[1214  303 1275  239],[1289  989 1310  901]
[-1047.83675344   966.78029466   949.83675344  1063.21970534],[1022  496 1118  397],[1274 1051 1289  988]
[-1047.83675344   966.78029466   949.83675344  1063.21970534],[1150  368 1209  306],[1369  659 1387  586]
[-1047.83675344   966.78029466   949.83675344  1063.21970534],[1211  306 1280  235],[1290  987 1317  869]
[-1046.88366974   967.76215158   950.88366974  1062.23784842],[1053  465 1115  400],[1388  570 1401  515]
[-1047.83675344   966.78029466   949.83675344  1063.21970534],[ 949  572 1110  405],[1371  650 1387  585]
[-1046.88586249   968.80854193   950.88586249  1063.19145807],[1232  284 1281  234],[1371  650 1388  580]
[-1046.88586249   968.80854193   950.88586249  1063.19145807],[1053  465 1115  401],[1278 1034 1315  882]
[-1046.88586249   968.80854193   950.88586249  1063.19145807],[692 830 768 754],[1288  993 1304  926]
[-1046.88586249   968.80854193   950.88586249  1063.19145807],[1053  465 1111  405],[1371  650 1386  589]
[-1046.88586249   968.80854193   950.88586249  1063.19145807],[919 603 983 536],[1276 1043 1312  895]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[1052  465 1110  405],[1278 1034 1315  882]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[703 819 768 754],[1385  583 1402  512]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[ 988  530 1039  478],[1371  650 1386  590]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[703 819 766 756],[1289  989 1308  908]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[703 819 770 752],[1275 1047 1312  895]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[703 819 768 754],[1371  650 1386  589]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[1056  461 1110  405],[1371  650 1386  589]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[695 827 768 754],[1371  650 1386  589]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[695 827 768 754],[1371  650 1386  588]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[1033  485 1093  423],[1289  989 1308  910]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[1038  480 1093  423],[1371  650 1385  593]
[-1046.89022866   970.90105012   950.89022866  1065.09894988],[695 827 771 751],[1289  989 1317  868]
[-1046.89022866   970.90105012   950.89022866  1065.09894988],[1052  465 1108  407],[1369  660 1386  590]
[-1046.89022866   970.90105012   950.89022866  1065.09894988],[1227  290 1283  233],[1288  993 1307  912]
[-1046.89022866   970.90105012   950.89022866  1065.09894988],[694 828 764 758],[1388  570 1401  517]
[-1046.89022866   970.90105012   950.89022866  1065.09894988],[691 831 764 758],[1368  661 1386  588]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[698 824 766 756],[1372  649 1386  591]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[698 824 766 756],[1367  668 1386  589]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[698 824 765 757],[1369  659 1386  590]
[-1046.88804879   969.85484136   950.88804879  1064.14515864],[698 824 766 756],[1372  649 1386  591]
[-1045.93591445   971.88016898   951.93591445  1064.11983102],[696 826 767 755],[1369  659 1386  589]
[-1045.93591445   971.88016898   951.93591445  1064.11983102],[910 481 910 425],[1369  659 1386  589]
[-1045.93591445   971.88016898   951.93591445  1064.11983102],[700 822 777 745],[1289  990 1317  868]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 968  551 1052  465],[1412  463 1444  326]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[1027  490 1110  405],[1420  428 1444  326]
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[ 996  522 1050  466],[1274 1054 1289  988]
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[700 822 777 745],[1274 1053 1289  988]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[700 822 777 745],[1288  992 1307  912]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[967 711 969 658],[1369  659 1385  593]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[671  76 671  20],[1372  649 1385  595]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1036  481 1110  405],[1369  659 1385  593]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[ 980  539 1052  465],[1406  487 1444  326]
