0,1,2
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 912  580 1062  394],[1322  942 1344  756]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 970  499 1061  383],[1322  945 1340  791]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 978  497 1066  388],[1373  486 1398  279]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 993  478 1093  354],[1340  794 1379  431]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 976  500 1066  388],[1374  480 1386  379]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 972  496 1061  383],[1332  853 1350  699]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[675 877 756 773],[1322  943 1345  748]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[675 877 756 773],[1373  487 1398  280]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 979  496 1066  388],[1322  943 1345  748]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 913  578 1055  403],[1373  488 1398  284]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 979  496 1065  389],[1322  947 1336  826]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 978  497 1065  389],[1365  558 1394  319]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[  3 185  99 304],[1330  873 1346  736]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 982  492 1067  386],[1374  482 1392  328]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 66 226 146 328],[1330  871 1349  709]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 982  492 1067  386],[1329  881 1348  719]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 985  488 1087  361],[1384  397 1398  284]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 970  499 1061  382],[1329  881 1348  719]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 913  578 1065  390],[1368  529 1390  348]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 980  495 1067  387],[1365  558 1379  437]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 976  500 1067  387],[1367  537 1390  348]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 976  500 1067  387],[1330  872 1348  719]
[-1014.89209769  1006.3101063    984.89209769  1035.6898937 ],[ 970  499 1061  382],[1322  945 1340  791]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 913  578 1067  387],[1339  802 1376  457]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 913  578 1065  390],[1331  863 1349  709]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 979  496 1067  387],[1373  486 1386  379]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 976  500 1067  387],[1322  945 1342  775]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 979  488 1062  382],[1322  941 1342  774]
[-1014.89188605  1005.29570756   984.89188605  1034.70429244],[ 913  578 1067  387],[1322  944 1342  774]
[-1015.8769931   1004.31565501   983.8769931   1035.68434499],[ 985  488 1068  385],[1372  495 1397  286]
[-1015.8769931   1004.31565501   983.8769931   1035.68434499],[ 912  580 1055  403],[1330  874 1351  696]
[-1015.8769931   1004.31565501   983.8769931   1035.68434499],[ 982  492 1068  385],[1367  539 1398  283]
[-1015.8769931   1004.31565501   983.8769931   1035.68434499],[ 913  578 1067  387],[1384  398 1398  283]
[-1015.8769931   1004.31565501   983.8769931   1035.68434499],[ 978  489 1061  382],[1339  803 1360  610]
