Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1014.89188605,1005.29570756,984.89188605,1034.70429244,160,1508,1508,-160,1246,1576,1576,-1246
1,-1014.89188605,1005.29570756,984.89188605,1034.70429244,163,1507,1507,-163,1246,1576,1576,-1246
2,-1014.89209769,1006.3101063,984.89209769,1035.6898937,166,1507,1507,-166,1246,1575,1575,-1246
3,-1014.89209769,1006.3101063,984.89209769,1035.6898937,168,1507,1507,-168,1246,1575,1575,-1246
4,-1014.89209769,1006.3101063,984.89209769,1035.6898937,169,1506,1506,-169,1246,1575,1575,-1246
5,-1014.89209769,1006.3101063,984.89209769,1035.6898937,170,1506,1506,-170,1246,1575,1575,-1246
6,-1014.89209769,1006.3101063,984.89209769,1035.6898937,171,1507,1507,-171,1246,1575,1575,-1246
7,-1014.89209769,1006.3101063,984.89209769,1035.6898937,171,1507,1507,-171,1246,1575,1575,-1246
8,-1014.89209769,1006.3101063,984.89209769,1035.6898937,170,1507,1507,-170,1246,1575,1575,-1246
9,-1014.89209769,1006.3101063,984.89209769,1035.6898937,170,1507,1507,-170,1246,1576,1576,-1246
10,-1014.89209769,1006.3101063,984.89209769,1035.6898937,169,1507,1507,-169,1246,1576,1576,-1246
11,-1014.89209769,1006.3101063,984.89209769,1035.6898937,168,1508,1508,-168,1246,1576,1576,-1246
12,-1014.89209769,1006.3101063,984.89209769,1035.6898937,167,1508,1508,-167,1246,1576,1576,-1246
13,-1014.89209769,1006.3101063,984.89209769,1035.6898937,166,1508,1508,-166,1246,1577,1577,-1246
14,-1014.89209769,1006.3101063,984.89209769,1035.6898937,165,1509,1509,-165,1246,1577,1577,-1246
15,-1014.89209769,1006.3101063,984.89209769,1035.6898937,164,1509,1509,-164,1246,1577,1577,-1246
16,-1014.89209769,1006.3101063,984.89209769,1035.6898937,163,1509,1509,-163,1246,1577,1577,-1246
17,-1014.89209769,1006.3101063,984.89209769,1035.6898937,162,1510,1510,-162,1246,1578,1578,-1246
18,-1014.89209769,1006.3101063,984.89209769,1035.6898937,161,1510,1510,-161,1246,1578,1578,-1246
19,-1014.89209769,1006.3101063,984.89209769,1035.6898937,162,1509,1509,-162,1247,1578,1578,-1247
20,-1014.89209769,1006.3101063,984.89209769,1035.6898937,163,1509,1509,-163,1247,1579,1579,-1247
21,-1014.89209769,1006.3101063,984.89209769,1035.6898937,162,1509,1509,-162,1247,1579,1579,-1247
22,-1014.89209769,1006.3101063,984.89209769,1035.6898937,162,1509,1509,-162,1246,1579,1579,-1246
23,-1014.89188605,1005.29570756,984.89188605,1034.70429244,162,1509,1509,-162,1246,1580,1580,-1246
24,-1014.89188605,1005.29570756,984.89188605,1034.70429244,161,1509,1509,-161,1245,1580,1580,-1245
25,-1014.89188605,1005.29570756,984.89188605,1034.70429244,160,1510,1510,-160,1245,1580,1580,-1245
26,-1014.89188605,1005.29570756,984.89188605,1034.70429244,160,1510,1510,-160,1244,1580,1580,-1244
27,-1014.89188605,1005.29570756,984.89188605,1034.70429244,160,1509,1509,-160,1244,1580,1580,-1244
28,-1014.89188605,1005.29570756,984.89188605,1034.70429244,161,1509,1509,-161,1244,1581,1581,-1244
29,-1015.8769931,1004.31565501,983.8769931,1035.68434499,162,1509,1509,-162,1244,1581,1581,-1244
30,-1015.8769931,1004.31565501,983.8769931,1035.68434499,163,1509,1509,-163,1244,1581,1581,-1244
31,-1015.8769931,1004.31565501,983.8769931,1035.68434499,164,1508,1508,-164,1243,1581,1581,-1243
32,-1015.8769931,1004.31565501,983.8769931,1035.68434499,165,1508,1508,-165,1243,1581,1581,-1243
33,-1015.8769931,1004.31565501,983.8769931,1035.68434499,167,1507,1507,-167,1243,1580,1580,-1243
34,-1015.8769931,1004.31565501,983.8769931,1035.68434499,169,1507,1507,-169,1244,1580,1580,-1244
35,-1015.8769931,1004.31565501,983.8769931,1035.68434499,172,1506,1506,-172,1244,1580,1580,-1244
36,-1015.8769931,1004.31565501,983.8769931,1035.68434499,174,1505,1505,-174,1244,1580,1580,-1244
37,-1015.8769931,1004.31565501,983.8769931,1035.68434499,176,1505,1505,-176,1244,1579,1579,-1244
38,-1014.89188605,1005.29570756,984.89188605,1034.70429244,177,1504,1504,-177,1245,1579,1579,-1245
39,-1014.89188605,1005.29570756,984.89188605,1034.70429244,178,1504,1504,-178,1245,1578,1578,-1245
40,-1014.89188605,1005.29570756,984.89188605,1034.70429244,179,1504,1504,-179,1246,1578,1578,-1246
41,-1014.89188605,1005.29570756,984.89188605,1034.70429244,179,1504,1504,-179,1247,1577,1577,-1247
