frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,1034.0,696.0,57.0,0.5509368962309905,-0.6476922773870101,0.5262729806712398,0.1368460644939089
77,1059.0,668.0,55.0,0.8806966564838502,-0.1985415567472451,-0.4300635412384403,0.2318778151618111
78,1077.0,641.0,53.0,-0.4501580174270781,-0.5122898954450945,-0.7313800806495735,0.5102156704415484
79,1094.0,616.0,52.0,-0.5686115364600999,-0.6640452150442941,-0.4855150594793755,0.3275299126958532
80,1110.0,594.0,50.0,-0.0192619954457715,0.1632884857666295,-0.9863903111585638,2.4737858345148243
81,1129.0,572.0,49.0,0.0792830629305185,-0.3040975772358341,0.9493360097729632,0.5692878403687572
82,,,,,,,
83,,,,,,,
84,1168.0,516.0,44.0,0.0070417083259872,0.953410906514561,-0.3015925358541471,0.2184851616351678
85,1179.0,500.0,43.0,0.6851381256978356,-0.623172393527753,-0.3771497271113267,0.5354702766997074
86,1194.0,484.0,42.0,0.1178178968426704,-0.7252134101986502,0.6783689651300495,0.1899653816868365
87,1204.0,469.0,41.0,-0.4468491506434739,-0.4821891654625282,-0.7535379521163856,0.5322109747920977
88,1214.0,455.0,40.0,-0.0760980918466776,-0.5256355022454849,-0.8472994743279565,0.6167210927417976
89,1223.0,442.0,39.0,0.914179359256294,0.3830572119278156,0.1324510154730425,0.3239469184118196
90,1231.0,430.0,38.0,0.566261324891879,-0.7850307021577142,0.2511471851354501,0.4140695065844944
