frame,x,y,radius,axis_x,axis_y,axis_z,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,879.0,756.0,93.0,0.7465254312254531,0.6624149459881981,0.062499758920366064,0.22177018788129543
44,891.0,753.0,92.0,0.47696548515019715,0.8544379092359167,0.20600918726113265,0.22661987007747522
45,901.0,750.0,91.0,0.943546610315766,-0.3073847933204886,0.12342764275861537,0.348019706305476
46,913.0,747.0,90.0,0.24361043538439192,-0.9011282729289076,0.3586388036729868,0.2353327785589557
47,924.0,744.0,89.0,0.35456589351426887,-0.8090349927771537,-0.4687701010287441,0.25112281826522526
48,935.0,740.0,88.0,0.623727395471568,0.5961921466968165,-0.5054889319810036,0.4621091868904512
49,945.0,738.0,87.0,0.8113484737269975,0.2243289938694357,-0.5398056656708953,0.2945339714194271
50,956.0,735.0,87.0,0.3555155277825012,0.8914276319127882,-0.2810079831034845,0.5860166500534296
51,958.0,733.0,86.0,0.9230894993194528,0.3470729420773001,0.16566879345238503,0.2857339528011286
52,968.0,731.0,85.0,0.8895436148680236,-0.10620213943054513,0.444334629336837,0.2867208751834722
53,979.0,728.0,84.0,0.5829782199502641,-0.78425900193308,0.21230688389816968,0.3184041063330054
54,990.0,724.0,83.0,0.06519554308815274,-0.25196058594555326,-0.9655389190972129,0.42952920202771955
55,1001.0,719.0,82.0,0.7660358110138596,0.44895963437221625,-0.4600265024416574,0.5619091689776597
56,1012.0,714.0,82.0,0.6007913476492551,0.7982882116609519,-0.04225739832208458,0.3135226806864821
57,1015.0,709.0,81.0,0.4784934231999252,0.8531561000080007,-0.20777081838784706,0.2987187429530414
58,1024.0,706.0,80.0,0.7821452038190037,0.4445609616819129,0.4365941267257061,0.4652216784583036
59,1034.0,701.0,80.0,0.7650255952595975,-0.6294278436974736,0.13622198125136478,0.2518050819213206
60,1044.0,698.0,79.0,0.5705577713329444,-0.3789197203058781,-0.7286176467358574,0.3398745104012055
61,1046.0,696.0,78.0,0.40785478477308007,0.09248483563369024,-0.9083507195546849,0.48300260132970513
62,1056.0,693.0,77.0,0.8458135580318842,0.42390264465524324,-0.3238919154652288,0.3527089151899026
