frame,pA_x,pA_y,pB_x,pB_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,936.0,815.0,805.0,692.0
43,940.0,816.0,817.0,685.0
44,922.0,839.0,873.0,664.0
45,985.0,785.0,822.0,712.0
46,1000.0,712.0,837.0,785.0
47,1008.0,770.0,837.0,739.0
48,971.0,829.0,876.0,684.0
49,1015.0,793.0,882.0,692.0
50,1005.0,807.0,906.0,670.0
51,1031.0,789.0,900.0,678.0
52,1049.0,771.0,902.0,690.0
53,1060.0,702.0,903.0,753.0
54,1067.0,779.0,938.0,664.0
55,1057.0,779.0,950.0,666.0
56,1056.0,784.0,969.0,645.0
57,1059.0,782.0,982.0,641.0
58,1094.0,750.0,959.0,663.0
59,1114.0,718.0,961.0,683.0
60,1087.0,770.0,1010.0,623.0
61,1102.0,758.0,1011.0,633.0
62,1114.0,748.0,1007.0,639.0
63,1081.0,766.0,1044.0,613.0
64,1127.0,742.0,1026.0,631.0
65,1150.0,718.0,1017.0,649.0
66,1151.0,641.0,1026.0,720.0
67,1167.0,710.0,1034.0,637.0
68,1136.0,739.0,1057.0,614.0
69,1144.0,736.0,1063.0,605.0
70,1140.0,737.0,1095.0,602.0
71,1177.0,714.0,1074.0,617.0
72,1192.0,696.0,1067.0,629.0
73,1200.0,685.0,1069.0,634.0
74,1198.0,696.0,1085.0,613.0
75,1192.0,706.0,1099.0,603.0
76,1185.0,714.0,1116.0,599.0
77,1185.0,713.0,1124.0,584.0
78,1211.0,695.0,1118.0,602.0
79,1219.0,694.0,1120.0,601.0
80,1226.0,687.0,1119.0,602.0
81,1221.0,692.0,1130.0,593.0
82,1235.0,680.0,1132.0,593.0
83,1220.0,693.0,1151.0,588.0
84,1245.0,672.0,1138.0,595.0
85,1258.0,634.0,1129.0,629.0
86,1258.0,650.0,1135.0,607.0
87,1262.0,651.0,1143.0,606.0
88,1251.0,669.0,1156.0,582.0
89,1241.0,675.0,1156.0,568.0
90,1258.0,656.0,1155.0,585.0
91,1266.0,592.0,1153.0,645.0
92,1234.0,670.0,1189.0,559.0
93,1253.0,653.0,1172.0,570.0
94,1231.0,670.0,1196.0,555.0
95,1248.0,667.0,1183.0,562.0
96,1268.0,643.0,1165.0,582.0
97,1276.0,634.0,1171.0,581.0
98,1279.0,580.0,1174.0,629.0
99,1268.0,653.0,1187.0,562.0
100,1252.0,662.0,1197.0,549.0
