frame,pA_x,pA_y,pB_x,pB_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,862.0,957.0,755.0,876.0
30,880.0,945.0,771.0,864.0
31,860.0,961.0,809.0,836.0
32,873.0,952.0,812.0,831.0
33,908.0,919.0,791.0,854.0
34,919.0,918.0,808.0,849.0
35,924.0,907.0,813.0,840.0
36,930.0,899.0,823.0,824.0
37,944.0,881.0,827.0,822.0
38,940.0,885.0,849.0,796.0
39,943.0,878.0,862.0,783.0
40,945.0,869.0,870.0,776.0
41,976.0,831.0,857.0,796.0
42,981.0,831.0,874.0,776.0
43,981.0,833.0,884.0,756.0
44,988.0,825.0,893.0,748.0
45,1006.0,786.0,889.0,775.0
46,967.0,826.0,946.0,709.0
47,1002.0,800.0,921.0,717.0
48,1013.0,789.0,916.0,720.0
49,1028.0,764.0,921.0,733.0
50,1033.0,762.0,932.0,705.0
51,1033.0,763.0,942.0,694.0
52,1037.0,753.0,946.0,688.0
53,1049.0,737.0,942.0,696.0
54,1022.0,759.0,987.0,652.0
55,1047.0,738.0,970.0,659.0
56,1062.0,719.0,965.0,666.0
57,1062.0,715.0,965.0,670.0
58,1065.0,716.0,984.0,645.0
59,1064.0,712.0,989.0,639.0
60,1072.0,705.0,991.0,634.0
61,1089.0,676.0,988.0,653.0
62,1077.0,702.0,1016.0,613.0
63,1089.0,683.0,1006.0,620.0
64,1105.0,674.0,1008.0,621.0
65,1094.0,679.0,1017.0,610.0
66,1088.0,682.0,1031.0,599.0
67,1093.0,674.0,1036.0,595.0
68,1104.0,666.0,1041.0,595.0
69,1116.0,649.0,1027.0,608.0
70,1110.0,664.0,1049.0,585.0
71,1122.0,648.0,1039.0,595.0
72,1116.0,658.0,1053.0,583.0
73,1120.0,653.0,1057.0,582.0
74,1129.0,652.0,1062.0,577.0
75,1128.0,652.0,1067.0,575.0
76,1139.0,639.0,1062.0,584.0
77,1150.0,612.0,1055.0,611.0
78,1148.0,633.0,1067.0,586.0
79,1155.0,627.0,1070.0,588.0
80,1149.0,637.0,1076.0,578.0
81,1144.0,643.0,1091.0,570.0
82,1137.0,648.0,1106.0,561.0
83,1147.0,645.0,1100.0,572.0
84,1167.0,629.0,1090.0,588.0
85,1172.0,616.0,1085.0,597.0
86,1172.0,628.0,1093.0,585.0
87,1176.0,627.0,1097.0,584.0
88,1175.0,635.0,1106.0,578.0
89,1179.0,634.0,1110.0,573.0
90,1167.0,641.0,1122.0,566.0
91,1179.0,637.0,1122.0,578.0
92,1191.0,597.0,1108.0,600.0
