frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,879.0,756.0,93.0,0.7888876309420962,0.4200593608590682,0.4485604074160336,0.3674023925402508
44,891.0,753.0,92.0,0.8127771717040075,0.4014256920925781,0.4221974453793263,0.4656417550383552
45,901.0,750.0,91.0,0.2076125817183488,-0.7151254239409262,0.6674523533148659,0.6130779500993341
46,913.0,747.0,90.0,0.2328756700603377,-0.9712912182706356,0.0486034114470717,0.3342446068488209
47,924.0,744.0,89.0,0.1171244238164717,-0.9921671350061818,0.0434309286026035,0.3460594536993394
48,935.0,740.0,88.0,0.773851237309231,0.6143779515080987,-0.1539285393151138,0.6457682477190096
49,945.0,738.0,87.0,0.9881255255249396,0.1439576827947681,-0.0537041094370154,0.3424698983949322
50,956.0,735.0,87.0,0.6349871244865206,0.3378539224300117,0.69472734136134,0.7858286106359395
51,958.0,733.0,86.0,0.858210489973655,0.4140498156418395,-0.3033768367330268,0.3779762652919018
52,968.0,731.0,85.0,0.9247078919908738,-0.3044210729669269,-0.2285675498041222,0.4128717736706515
53,979.0,728.0,84.0,0.4414197554532538,-0.8917152706312342,0.0999623710135689,0.4562312990499627
54,990.0,724.0,83.0,0.1072946118108894,-0.7370281667194346,-0.6672910517446939,0.3241928369773542
55,1001.0,719.0,82.0,0.6678184348705107,0.6581520729198516,-0.3476411755796542,0.7991105076018653
56,1012.0,714.0,82.0,0.8890696722296985,0.4577597968228638,-0.0033296147024758,0.507146898627686
57,1015.0,709.0,81.0,0.66156008824782,0.7340974271566231,-0.1530987167796093,0.493179783840583
58,1024.0,706.0,80.0,0.8671877392264267,-0.1375107600753073,0.4786190717040748,0.4605814956122104
59,1034.0,701.0,80.0,0.7504294228885182,-0.6213069168379661,-0.2254626273964403,0.3198214933428241
60,1044.0,698.0,79.0,0.3006092409842419,0.2555288169396304,-0.9188792673405528,0.919703542398176
61,1046.0,696.0,78.0,-0.8701817325142048,-0.4877353096871134,0.0699858563067758,0.451673736002475
62,1056.0,693.0,77.0,0.819200673752015,0.4373558751502593,0.3709853023986201,0.4677825183432401
