frame,x,y,radius,axis_x,axis_y,axis_z,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,879.0,756.0,93.0,0.7885563347610122,0.39968260298745845,-0.4673678677203303,0.41953014712784564
44,891.0,753.0,92.0,0.7908357409604855,0.3969070293556011,-0.46587942739253035,0.41953014712784564
45,901.0,750.0,91.0,0.7931184368404679,0.39413145572374375,-0.4643528192579597,0.41953014712784564
46,913.0,747.0,90.0,0.7954044224009593,0.3913558820918864,-0.462787616922793,0.41953014712784564
47,924.0,744.0,89.0,0.7976936976419603,0.38858030846002906,-0.46118337851597113,0.41953014712784564
48,935.0,740.0,88.0,0.7999862625634698,0.3858047348281717,-0.45953964605232406,0.41953014712784564
49,945.0,738.0,87.0,0.806224458250633,0.3852258769355871,-0.449002390481032,0.41953014712784564
50,956.0,735.0,87.0,0.8127382172423875,0.38409339594839625,-0.4380968539290077,0.41953014712784564
51,958.0,733.0,86.0,0.8212813906602958,0.37793083641697167,-0.42739344899080844,0.41953014712784564
52,968.0,731.0,85.0,0.8314407817700333,0.3676772018509314,-0.41655696086934535,0.41953014712784564
53,979.0,728.0,84.0,0.8428053667663837,0.3541267623958349,-0.40530648885112275,0.41953014712784564
54,990.0,724.0,83.0,0.8496821646602724,0.34713941065992604,-0.3969060954746262,0.41953014712784564
55,1001.0,719.0,82.0,0.8526296319595622,0.3459445923188493,-0.39159296437735786,0.41953014712784564
56,1012.0,714.0,82.0,0.8521680881482874,0.3495723888659628,-0.38936961165997114,0.4239046310562381
57,1015.0,709.0,81.0,0.8487883412306036,0.35696698128276544,-0.3900422106194022,0.42839156302407744
58,1024.0,706.0,80.0,0.8446829040221044,0.36150059240684757,-0.39475069770968424,0.43299094303136393
59,1034.0,701.0,80.0,0.8399615146063066,0.3634316261294927,-0.4029666327491049,0.434762885978435
60,1044.0,698.0,79.0,0.8346985833161115,0.3630239026292355,-0.4141158305714914,0.4337073918652907
61,1046.0,696.0,78.0,0.8348498430518787,0.353517160988818,-0.4219613210267732,0.42982446069193114
62,1056.0,693.0,77.0,0.8263720215098169,0.3555558828145891,-0.43667985557123756,0.42485248543190735
