frame,x,y,radius,rotation_center_x,rotation_center_y
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,890.0,844.0,66.0,,
38,897.0,837.0,65.0,879.5719173184411,795.0493090564977
39,901.0,829.0,64.0,960.8498674947518,848.6858726215536
40,909.0,822.0,63.0,874.356536753895,859.6457728747271
41,911.0,813.0,63.0,962.4396757333648,837.440196234263
42,919.0,805.0,62.0,,
43,923.0,796.0,62.0,920.6005273253046,776.5878449194942
44,931.0,788.0,61.0,,
45,941.0,780.0,60.0,951.4771176868683,770.1730587118171
46,944.0,771.0,60.0,980.6886093091964,802.7369139066905
47,953.0,763.0,59.0,917.0537428159437,716.21767309464
48,960.0,756.0,59.0,928.6373425122267,801.1134166390959
49,961.0,749.0,58.0,,
50,968.0,743.0,57.0,,
51,974.0,736.0,57.0,,
52,974.0,731.0,56.0,,
53,981.0,723.0,56.0,990.468761121357,707.4566081389399
54,988.0,717.0,55.0,1036.4422834527186,705.0973409556284
55,995.0,710.0,55.0,,
56,1002.0,704.0,54.0,,
57,1004.0,697.0,54.0,,
58,1011.0,692.0,53.0,1032.7022824309904,646.7994321360214
59,1018.0,685.0,53.0,1038.650380186228,732.4370250020477
60,1025.0,678.0,52.0,1007.8550530804526,725.7045440254166
61,1027.0,672.0,52.0,,
62,1033.0,667.0,52.0,,
63,1040.0,661.0,51.0,,
64,1042.0,655.0,51.0,,
65,1049.0,649.0,50.0,,
66,1055.0,643.0,50.0,,
67,1061.0,640.0,49.0,1061.1328240396424,642.2879127869633
68,1062.0,634.0,49.0,,
69,1070.0,629.0,49.0,1115.2971047334709,645.1406061642609
70,1077.0,623.0,48.0,1094.022036022792,667.6337183203012
71,1084.0,618.0,48.0,1068.7528286743488,648.6324165177482
72,1084.0,617.0,48.0,1081.2628000547147,664.0740059310365
73,1089.0,615.0,47.0,1120.106290078171,641.5333378674976
74,1096.0,611.0,47.0,1049.2123428101895,612.967090912829
75,1100.0,610.0,47.0,1065.3791023683416,578.2305215621726
76,1100.0,611.0,46.0,1133.9050089568204,640.7839963678348
77,1105.0,609.0,46.0,1144.4056019002444,597.895401398399
78,1106.0,607.0,46.0,1130.6120216615382,643.9181866997387
79,1111.0,606.0,45.0,1139.102085198448,637.6095258326668
80,1111.0,607.0,45.0,1131.438532490192,623.6667055939907
81,1115.0,606.0,45.0,1123.632148702424,647.1248422487649
