frame,x,y,radius,rotation_center_x,rotation_center_y
166.0,1302.0,456.0,44.0,1258.0,454.0
167.0,1299.0,454.0,44.0,1255.0,458.0
168.0,1295.0,455.0,44.0,1259.0,474.0
169.0,1290.0,454.0,44.0,1309.0,493.0
170.0,1286.0,452.0,44.0,1242.0,456.0
171.0,1283.0,451.0,44.0,1239.0,451.0
172.0,1280.0,454.0,44.0,1286.0,444.0
173.0,1276.0,455.0,43.0,1243.0,454.0
174.0,1272.0,456.0,43.0,1243.0,488.0
175.0,1268.0,455.0,43.0,1245.0,451.0
176.0,1264.0,455.0,43.0,1234.0,440.0
177.0,1261.0,454.0,43.0,1246.0,429.0
178.0,1257.0,454.0,43.0,1221.0,468.0
179.0,1253.0,454.0,43.0,1247.0,469.0
180.0,1250.0,452.0,43.0,1245.0,411.0
181.0,1242.0,451.0,43.0,1226.0,419.0
182.0,1239.0,450.0,43.0,1235.0,490.0
183.0,1236.0,450.0,43.0,1235.0,492.0
184.0,1232.0,450.0,43.0,1230.0,492.0
185.0,1228.0,450.0,42.0,1234.0,491.0
186.0,1221.0,452.0,42.0,1225.0,493.0
187.0,1218.0,454.0,42.0,1217.0,495.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
