frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,1034.0,696.0,57.0,0.5596267302748846,0.5154155557830276,-0.6489720545745512,0.5117569134726947
77,1059.0,668.0,55.0,0.5667430139606211,0.5070800837076974,-0.6493628760822611,0.5117569134726947
78,1077.0,641.0,53.0,0.5739541898703726,0.498831740175213,-0.6494178030544073,0.5117569134726947
79,1094.0,616.0,52.0,0.5812640399569379,0.4906267425692938,-0.6491667854479181,0.5117569134726947
80,1110.0,594.0,50.0,0.588675944804296,0.4824064279128069,-0.648648341027074,0.5117569134726947
81,1129.0,572.0,49.0,0.596192887184961,0.4741026684037483,-0.6479048549613639,0.5117569134726947
82,1143.0,552.0,47.0,0.6038165919323338,0.4656412588979592,-0.6469804798594353,0.5117569134726947
83,1155.0,534.0,46.0,0.6115468834100886,0.4569464172669648,-0.6459182464819309,0.5117569134726947
84,1168.0,516.0,44.0,0.6193810212511818,0.447945221665829,-0.644757496195736,0.5117569134726947
85,1179.0,500.0,43.0,0.6273133390012714,0.4385716573684711,-0.6435315657092108,0.5117569134726947
86,1194.0,484.0,42.0,0.6353340786263596,0.4287707080031372,-0.6422665245009139,0.5117569134726947
87,1204.0,469.0,41.0,0.643429362652845,0.4185013564143867,-0.6409799294482411,0.5117569134726947
88,1214.0,455.0,40.0,0.6515809552837385,0.4077391426605605,-0.6396804282248769,0.5117569134726947
89,1223.0,442.0,39.0,0.6597659976313378,0.3964774847157283,-0.6383685710332355,0.5114527521238356
