frame,x,y,radius,rotation_center_x,rotation_center_y
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,879.0,756.0,93.0,800.7427295851646,716.4370590351008
44,891.0,753.0,92.0,818.4935124735828,718.1324811778703
45,901.0,750.0,91.0,822.9234564479024,766.3365852625516
46,913.0,747.0,90.0,909.3419993822973,665.5627041720172
47,924.0,744.0,89.0,857.5625319660777,691.9874750147841
48,935.0,740.0,88.0,879.9795076323701,671.389410199004
49,945.0,738.0,87.0,872.6216344377241,691.6905139700277
50,956.0,736.0,86.0,892.4874257913392,683.5091349832644
51,958.0,733.0,86.0,913.412360682442,703.8827955705511
52,968.0,731.0,85.0,898.6436247056733,775.8724195839496
53,979.0,728.0,84.0,905.0343919875548,695.9955124182579
54,990.0,724.0,83.0,940.0998158147464,661.0918516189856
55,1001.0,719.0,82.0,934.8370063999289,699.1821405654205
56,1012.0,715.0,81.0,950.5669158290497,665.6326702230998
57,1015.0,709.0,81.0,965.4966791135438,683.4220231020153
58,1024.0,706.0,80.0,1014.4978899633568,646.6066363026739
59,1034.0,702.0,79.0,958.4485744564889,685.2492359574607
60,1044.0,699.0,78.0,996.7677279373239,641.1014273561505
61,1046.0,696.0,78.0,996.65696340878,666.8396489200111
62,1056.0,693.0,77.0,990.6578120644986,652.8398705901648
63,1065.0,691.0,76.0,1025.951152388793,696.804446843385
64,1074.0,688.0,76.0,1008.2270662011763,653.8879968827644
65,1076.0,686.0,75.0,1033.8675143657679,738.3742519849133
66,1085.0,684.0,74.0,1081.5651613390307,757.1015762952825
67,1094.0,680.0,74.0,1079.1667209205752,607.6392202914449
68,1097.0,676.0,73.0,1067.5000442254757,737.7870967103183
69,1106.0,673.0,72.0,1054.8613566923045,661.400839404757
70,1114.0,669.0,72.0,1049.1727385689207,640.6361233982603
71,1123.0,665.0,71.0,1074.6923605435036,645.2386020429914
72,1125.0,662.0,71.0,1070.7844410057037,624.0371917825493
73,1133.0,659.0,70.0,1066.502097190343,637.6952964957012
74,1141.0,654.0,70.0,1134.4578105339983,673.3496590728295
75,1141.0,654.0,69.0,1118.8447138255883,708.727510726462
76,1149.0,652.0,68.0,1113.7848716280291,627.3002279202217
77,1156.0,650.0,68.0,1104.8251226049035,605.2328630716694
78,1157.0,649.0,67.0,1111.57823859752,599.7470004948599
