frame,x,y,radius,axis_x,axis_y,axis_z,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,890.0,844.0,66.0,0.5610663186815676,0.11435976656028182,0.8198331719523134,0.23935510151160178
38,897.0,837.0,65.0,0.5621758808594726,0.11350633546654837,0.8191914249971319,0.23935510151160178
39,901.0,829.0,64.0,0.5632865390864107,0.11265290437281493,0.818546026818543,0.23935510151160178
40,909.0,822.0,63.0,0.5681310918416086,0.1382253260444767,0.8112464617628603,0.23935510151160178
41,911.0,813.0,63.0,0.5804232438064353,0.15020563077938978,0.8003418810304638,0.23935510151160178
42,919.0,805.0,62.0,0.5667355425363054,0.1534070379625624,0.8094918810770325,0.23935510151160178
43,923.0,796.0,62.0,0.5751947876925719,0.15449913786492572,0.8032938270709491,0.23935510151160178
44,931.0,788.0,61.0,0.6009706610592281,0.15346261912995146,0.7844000822767739,0.23935510151160178
45,941.0,780.0,60.0,0.6154238348837123,0.14355807401118145,0.7750126339894243,0.23935510151160178
46,944.0,771.0,60.0,0.6031761608867864,0.13114900942408692,0.7867518390604233,0.23935510151160178
47,953.0,763.0,59.0,0.599600592888692,0.12646307253607653,0.7902444054166181,0.23935510151160178
48,960.0,756.0,59.0,0.6046060503518245,0.12904890421092083,0.7860012113221758,0.23935510151160178
49,961.0,749.0,58.0,0.6162158895021879,0.13709638742891536,0.7755530659335752,0.23935510151160178
50,968.0,743.0,57.0,0.6276637550654283,0.14329438452211615,0.7651829388725248,0.2403468256014204
51,974.0,736.0,57.0,0.6389793884713691,0.14786506200516042,0.7548783110852804,0.2389710652603229
52,974.0,731.0,56.0,0.6474000123422329,0.14828687781258026,0.7475855976996036,0.23618795436310236
53,981.0,723.0,56.0,0.6517957283107898,0.1541041625468488,0.7425727140432388,0.23865908769013777
54,988.0,717.0,55.0,0.6523972513769914,0.1649701087498051,0.7397044609942703,0.23669044592997643
55,995.0,710.0,55.0,0.6701833985941564,0.1686364740595539,0.7227834750916401,0.2383900243079907
56,1002.0,704.0,54.0,0.6855039473916498,0.16653997563349554,0.7087656697572626,0.2368793810281858
57,1004.0,697.0,54.0,0.7027311881770113,0.1647483142871407,0.6921176707055466,0.23395160200900147
