frame,x,y,radius,rotation_center_x,rotation_center_y
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,974.0,819.0,63.0,,
71,993.0,799.0,62.0,,
72,1006.0,778.0,61.0,,
73,1022.0,762.0,60.0,,
74,1033.0,745.0,59.0,,
75,1044.0,728.0,58.0,,
76,1059.0,712.0,58.0,,
77,1068.0,698.0,57.0,1097.270697455932,731.6839912523458
78,1077.0,684.0,56.0,1066.3057456243523,704.2920677693265
79,1086.0,671.0,55.0,1032.7467723111984,657.7052691224113
80,1099.0,659.0,54.0,1141.9295189802417,680.8460477108904
81,1107.0,646.0,53.0,1132.460266337049,688.1456503026437
82,1114.0,635.0,52.0,1124.3045920568786,685.8678218029077
83,1126.0,623.0,52.0,1094.5790197465744,664.3817551897139
84,1133.0,612.0,51.0,1083.967677312711,599.3083115106224
85,1140.0,601.0,50.0,1104.8304849518472,566.3248149780143
86,1151.0,590.0,49.0,1114.6970084909171,561.1819937931035
87,1157.0,580.0,49.0,1116.7009132495748,554.0108805797407
88,1162.0,572.0,48.0,1122.980028772426,548.9438568685252
89,1172.0,563.0,47.0,1146.731246329757,564.4512835911123
90,1178.0,552.0,47.0,,
91,1183.0,546.0,46.0,,
92,1188.0,538.0,45.0,,
93,1197.0,529.0,45.0,,
94,1202.0,521.0,44.0,,
95,1207.0,513.0,43.0,,
96,1215.0,505.0,43.0,,
97,1219.0,500.0,42.0,,
98,1223.0,493.0,42.0,,
99,1231.0,487.0,41.0,,
100,1235.0,480.0,41.0,,
101,1239.0,474.0,40.0,,
102,1242.0,467.0,40.0,,
103,1250.0,460.0,39.0,,
104,1253.0,454.0,39.0,,
105,1256.0,450.0,38.0,,
106,1260.0,444.0,38.0,,
107,1266.0,439.0,37.0,,
108,1270.0,432.0,37.0,,
109,1273.0,427.0,36.0,,
110,1275.0,423.0,36.0,,
111,1282.0,418.0,35.0,,
112,1285.0,413.0,35.0,,
