frame,pA_x,pA_y,pB_x,pB_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,964.0,885.0,875.0,800.0
72,988.0,860.0,909.0,769.0
73,,,,
74,1046.0,792.0,953.0,713.0
75,1067.0,760.0,986.0,677.0
76,1084.0,734.0,1005.0,663.0
77,1107.0,691.0,1014.0,638.0
78,1128.0,668.0,1037.0,611.0
79,1138.0,653.0,1061.0,582.0
80,1160.0,617.0,1073.0,570.0
81,1168.0,605.0,1081.0,544.0
82,1189.0,572.0,1094.0,545.0
83,1193.0,567.0,1120.0,508.0
84,1205.0,548.0,1136.0,493.0
85,1226.0,518.0,1147.0,481.0
86,1232.0,507.0,1159.0,470.0
87,1243.0,493.0,1166.0,458.0
88,1247.0,485.0,1178.0,442.0
89,1259.0,466.0,1194.0,423.0
90,1269.0,445.0,1200.0,420.0
91,1278.0,435.0,1211.0,410.0
92,1278.0,435.0,1225.0,386.0
93,1286.0,420.0,1231.0,377.0
94,1301.0,395.0,1234.0,382.0
95,1306.0,390.0,1243.0,369.0
96,1311.0,372.0,1248.0,361.0
97,1318.0,360.0,1255.0,361.0
98,1316.0,373.0,1271.0,328.0
99,1327.0,353.0,1268.0,336.0
100,1332.0,344.0,1275.0,327.0
101,1338.0,320.0,1279.0,335.0
102,1326.0,299.0,1295.0,340.0
103,1343.0,327.0,1294.0,308.0
104,1348.0,316.0,1297.0,303.0
105,1354.0,300.0,1301.0,299.0
106,1356.0,283.0,1305.0,306.0
107,1357.0,295.0,1308.0,276.0
108,1364.0,289.0,1313.0,274.0
109,1364.0,287.0,1317.0,266.0
110,1370.0,274.0,1319.0,263.0
111,1370.0,250.0,1325.0,275.0
112,1377.0,266.0,1326.0,247.0
113,1378.0,256.0,1327.0,249.0
114,1377.0,260.0,1334.0,239.0
115,1380.0,241.0,1333.0,248.0
116,1382.0,237.0,1335.0,242.0
117,1383.0,232.0,1338.0,239.0
118,1384.0,238.0,1339.0,225.0
119,1378.0,243.0,1347.0,210.0
120,1383.0,213.0,1344.0,236.0
121,1384.0,214.0,1341.0,225.0
122,1381.0,227.0,1344.0,208.0
123,1383.0,218.0,1344.0,203.0
124,1382.0,203.0,1343.0,216.0
125,1383.0,199.0,1344.0,216.0
126,1380.0,211.0,1343.0,196.0
127,1374.0,185.0,1347.0,214.0
128,1375.0,182.0,1344.0,207.0
129,1377.0,186.0,1340.0,197.0
130,1358.0,172.0,1353.0,209.0
131,1371.0,182.0,1334.0,193.0
132,1368.0,178.0,1333.0,191.0
133,1339.0,167.0,1354.0,200.0
134,1361.0,173.0,1330.0,190.0
135,1355.0,166.0,1330.0,191.0
136,1357.0,174.0,1322.0,179.0
137,1352.0,164.0,1323.0,183.0
138,1344.0,158.0,1323.0,185.0
139,1320.0,155.0,1343.0,180.0
140,1322.0,182.0,1337.0,151.0
141,1322.0,179.0,1337.0,152.0
142,1335.0,150.0,1328.0,179.0
143,1316.0,148.0,1335.0,171.0
144,1335.0,165.0,1310.0,150.0
145,1336.0,152.0,1309.0,165.0
146,1328.0,152.0,1299.0,161.0
147,1325.0,157.0,1296.0,158.0
148,1307.0,165.0,1310.0,138.0
149,1319.0,140.0,1306.0,165.0
150,1304.0,149.0,1331.0,148.0
151,1324.0,150.0,1349.0,149.0
152,1327.0,155.0,1352.0,150.0
153,1333.0,156.0,1358.0,153.0
154,,,,
