frame,x,y,radius,x_axis,y_axis,z_axis,angle
63,1065.0,690.0,77.0,0.7475616122208484,0.3194556270834912,-0.582322709722418,0.4658569691006199
64,1074.0,688.0,76.0,0.7468306513747666,0.314293138032144,-0.5860578482991671,0.4654384331307434
65,1076.0,686.0,75.0,0.7460599391465559,0.3092986675838448,-0.5896854258259191,0.4708402213801679
66,1085.0,683.0,75.0,0.74528591889052,0.3044268018776785,-0.5931890267040026,0.4754352904364987
67,1094.0,680.0,74.0,0.7445434241767008,0.2996321224517609,-0.5965531667087908,0.4792236402997361
68,1097.0,675.0,74.0,0.7438680100941931,0.2948724084772428,-0.5997588234259963,0.4836696773699072
69,1106.0,672.0,73.0,0.7432926844504412,0.2901116294059574,-0.6027862205839458,0.4887734016470117
70,1114.0,669.0,72.0,0.7428452158618698,0.2853213577211418,-0.6056176253208754,0.4923494388708585
71,1123.0,664.0,72.0,0.7425487151855024,0.2804823992672363,-0.6082359980120006,0.4943977890414476
72,1125.0,662.0,71.0,0.7424200326335839,0.2755873524739859,-0.6106259954347892,0.4943525541604113
73,1133.0,658.0,71.0,0.7424699003498758,0.2706401175918376,-0.6127743253631974,0.4922137342277497
74,1141.0,654.0,70.0,0.7427028599165163,0.2656556649750879,-0.6146702608215818,0.4879813292434628
75,1141.0,654.0,69.0,0.7431182156934081,0.2606590794571246,-0.6163052505059565,0.4872847048037603
76,1149.0,651.0,69.0,0.7437096047114848,0.2556842140364868,-0.6176743531606529,0.4899909895068306
77,1156.0,650.0,68.0,0.7444663459681145,0.2507717147023478,-0.6187757322537205,0.4928991738719819
78,1157.0,648.0,68.0,0.7453704146849909,0.2459677419708136,-0.6196150537407108,0.4885755621982015
79,1164.0,646.0,67.0,0.7464084489674737,0.2413232850548341,-0.6201915021993718,0.4867458672845783
80,1171.0,643.0,67.0,0.7475622682222244,0.2368830108636025,-0.6205135730140295,0.4874100891311124
81,1172.0,641.0,66.0,0.7488140592288393,0.2326913508209223,-0.6205902351426124,0.4905682277378037
82,1178.0,638.0,66.0,0.7501474264310133,0.2287879633188394,-0.6204312262123376,0.4948941350906392
83,1185.0,635.0,65.0,0.7515472149794863,0.2252065916974924,-0.6200473971500702,0.5026809090380635
84,1186.0,632.0,65.0,0.7530002736991988,0.2219730788689863,-0.6194501917558461,0.5076959731418041
85,1190.0,631.0,64.0,0.754492833758228,0.2191086979578004,-0.6186533296497453,0.5124199029435202
86,1195.0,630.0,64.0,0.75601891612682,0.2166181347423684,-0.6176665622803014,0.516852698443212
87,1194.0,629.0,64.0,0.7575718287943735,0.2144994701162592,-0.6165021504723179,0.5209943596408791
88,1198.0,628.0,63.0,0.7591461445518712,0.2127419594345686,-0.6151731381554056,0.524844886536522
89,1202.0,628.0,63.0,0.7607357050025181,0.2113286652882475,-0.613694860954375,0.5279932324600112
90,1201.0,625.0,62.0,0.7623360281548665,0.2102335500215384,-0.612083029189998,0.5304393974113469
91,1205.0,623.0,62.0,0.7639406053945174,0.2094199612890615,-0.610358936399842,0.5321833813905292
92,1210.0,621.0,61.0,0.7655510076252221,0.2088500268455975,-0.6085337468132728,0.5288813294602184
93,1209.0,617.0,61.0,0.7671645283299321,0.2084769475202364,-0.6066266964327875,0.5205332416204146
94,1213.0,614.0,61.0,0.7687803656165524,0.2082517914746974,-0.604655224727331,0.5133902047611252
95,1217.0,613.0,60.0,0.7703979512632307,0.2081239933553262,-0.6026370384230039,0.5096375931425416
96,1216.0,610.0,60.0,0.7720196792560875,0.2080411689603442,-0.6005867854514794,0.509275406764664
97,1221.0,609.0,60.0,0.773650516918929,0.2079509930546195,-0.5985158829627426,0.5128695436258597
98,1225.0,607.0,59.0,0.7752988696683807,0.2078019892005262,-0.5964310488021525,0.5190670079261858
99,1225.0,605.0,59.0,0.7769765301427553,0.207546973903506,-0.5943330087003594,0.5197509604787814
100,1230.0,605.0,58.0,0.7786993168492664,0.2071406949884494,-0.5922162665937064,0.5177657722996512
101,1229.0,602.0,58.0,0.7804853064680591,0.2065433656324424,-0.5900699318730646,0.5131114433887948
102,1233.0,599.0,58.0,0.7823531186581784,0.2057213461425132,-0.5878795161145985,0.5044518357529225
103,1238.0,599.0,57.0,0.7843263291277988,0.2046475317221074,-0.585620693962364,0.5035873470137271
104,1237.0,595.0,57.0,0.7864296634651947,0.2033020505324589,-0.5832638002407813,0.5007922643721194
105,1241.0,592.0,57.0,0.788688285134364,0.2016717300949267,-0.5807747430564928,0.4970518780616336
106,1247.0,590.0,56.0,0.7911262111542293,0.1997549812926944,-0.5781152700573727,0.4923661880822695
107,1246.0,588.0,56.0,0.7937673255247505,0.1975518338681614,-0.5752449094643177,0.4880613424480403
108,1250.0,584.0,56.0,0.7966303751907909,0.195071260977862,-0.5721252034859909,0.4868424292330233
109,1255.0,583.0,56.0,0.7997305207302927,0.192328500082119,-0.5687185967318259,0.4851333850141174
110,1255.0,582.0,55.0,0.8030784943791588,0.1893436231729202,-0.5649901983481259,0.4804757900164139
